Name,Ticker,"Sub-Sector","Market Cap","Total Revenue","Taxes & Other Items","Interest & Other Items","Payout Ratio","Earnings Per Share","Net Income","Depreciation & Amortization","PBT","Dividend Per Share","EBITDA","PBIT","Employee Cost","Operating & Other expenses"
Blue Cloud Softech Solutions Ltd,BLUECLOUDS,"Software Services","3512.06688","204.43","2.21","0.01","0","0.4155793306189874","5.740000000000001","0.07","7.950000000000001",,"8.030000000000001","7.960000000000001","13.29","181.02"
Hi-Tech Pipes Ltd,HITECH,"Building Products - Pipes","3510.244452","2700.47","14.76","41.86","0","3.1638800563203757","43.92999999999997","15.49","58.68999999999997",,"116.03999999999996","100.54999999999997","31.46","2279.52"
Gensol Engineering Ltd,GENSOL,"Construction & Engineering","3498.69408621","995.9","18.349999999999998","110.38","0","15.980063621476935","59.54999999999998","74.25","77.89999999999998",,"262.53","188.27999999999997","40.86","150.74999999999997"
Jeena Sikho Lifecare Ltd,JSLL,"Pharmaceuticals","3497.32533928","330.85","24.71","0.43","0.17241492323564786","27.839817516489603","69.21000000000006","5.1","93.92000000000006","4.8","99.45000000000006","94.35000000000007","65.91","8.53"
MPS Ltd,MPSLTD,"Publishing","3496.7893745300003","557.52","42.49","0.86","1.080094460346861","69.43837113646018","118.77999999999986","19.98","161.26999999999987","75","182.10999999999987","162.12999999999988","243.39","94.10000000000005"
Stylam Industries Ltd,STYLAMIND,"Construction & Engineering","3490.9613988","919.8100000000001","35.879999999999995","2.5","0","75.7879706878445","128.45000000000013","22.26","164.33000000000013",,"189.09000000000012","166.83000000000013","75.06","65.00999999999996"
RPSG Ventures Ltd,RPSGVENT,"Packaged Foods & Meats","3488.7963970050005","8006.58","419.29999999999995","626.79","0","-13.565968066171045","-42.459999999999354","301.76","376.8400000000006","0","1305.3900000000006","1003.6300000000006","4099.58","1014.9199999999998"
Seamec Ltd,SEAMECLTD,"Oil & Gas - Equipment & Services","3479.6655","758.14","0.3400000000000001","17.01","0","47.07571288102259","119.68999999999993","134.79","120.02999999999993","0","271.8299999999999","137.03999999999994","91.88","282.57000000000005"
Nucleus Software Exports Ltd,NUCLEUS,"Software Services","3470.75985674","877.35","64.2","0.95","0.1746693893528183","71.56376996744972","191.60000000000008","14.55","255.80000000000007","12.5","271.30000000000007","256.75000000000006","491.06","20.699999999999903"
Suraj Estate Developers Ltd,SURAJEST,"Real Estate Rental, Development & Operations","3469.4824913099997","415.7","26.37","138.9","0","19.39","67.48999999999998","3.66","93.85999999999999","0","236.42","232.76",,"179.28"
Mahanagar Telephone Nigam Ltd,MTNL,"Telecom Services","3463.11","1374.92","-0.19000000000000003","2694.4","0","-51.86539682539682","-3267.52","666.35","-3267.71",,"93.04000000000019","-573.3099999999998","593.57","347.7399999999999"
Shivalik Bimetal Controls Ltd,SBCL,"Iron & Steel","3447.323349","531.38","27.490000000000002","4.93","0","14.62914162508984","84.27000000000001","12.05","111.76000000000002",,"128.74","116.69000000000001","42.76","9.209999999999994"
Thirumalai Chemicals Ltd,TIRUMALCHM,"Commodity Chemicals","3446.8960598","2102.4700000000003","4.240000000000001","41.71",,"-3.7870459791705433","-38.78999999999979","63.2","-34.54999999999979","1","70.36000000000021","7.16000000000021","79.82","83.01000000000013"
Sanghvi Movers Ltd,SANGHVIMOV,"Business Support Services","3422.13284","646.7099999999999","64.46","24.95","0.13818994413407826","43.41849935316945","187.94999999999993","131.84","252.4099999999999","6","409.19999999999993","277.3599999999999","40.89","150.25999999999996"
Shipping Corporation of India Land and Assets Ltd,SCILAL,"Real Estate","3421.75952746","98.94","7.61","0.01","0.6473517511054958","1.0195384485681926","47.49","0.69","55.1","0.66","55.8","55.11","0.6","32.989999999999995"
Indoco Remedies Ltd,INDOCO,"Pharmaceuticals","3411.66340705","1846.87","37.33","38.02","0","10.683950789811611","98.46999999999981","91.87","135.7999999999998",,"265.6899999999998","173.81999999999982","361.93","147.61999999999998"
Suven Life Sciences Ltd,SUVEN,"Pharmaceuticals","3397.1523634259997","40.28","-1","0.3","0","-4.818554085543468","-105.08000000000001","6.5","-106.08000000000001","0","-99.28000000000002","-105.78000000000002","18.99","2.8300000000000125"
Ddev Plastiks Industries Ltd,DDEVPLASTIK,"Commodity Chemicals","3395.58672916","2454.9199999999996","62.99000000000001","23.05","0","16.719364563384897","181.65999999999946","14.2","244.64999999999947",,"281.89999999999947","267.6999999999995","38.87","37.34000000000009"
Repco Home Finance Ltd,REPCOHOME,"Consumer Finance","3378.313548","1540.8","108.41000000000001",,"0.04508277149239753","66.54426737064958","416.30999999999966","18.22","524.7199999999997","3","542.9399999999997","524.7199999999997","102.18","854.2800000000001"
Ashiana Housing Ltd,ASHIANA,"Real Estate","3373.111576635","966.52","24.369999999999997","2.05","0","8.221732191210513","83.39999999999995","9.48","107.76999999999995",,"119.29999999999995","109.81999999999995","54.16","544.3700000000001"
Gujarat Industries Power Company Ltd,GIPCL,"Power Generation","3372.296487648","1425.0400000000002","54.01","37.2","0","13.125186163827038","198.5200000000002","167.88","252.5300000000002",,"457.6100000000002","289.7300000000002","140.96","136.97999999999996"
TVS Srichakra Ltd,TVSSRICHAK,"Tires & Rubber","3370.82483625","3180.2000000000003","38.06","48.45","0.3357894830940236","140.98118727186116","107.95000000000044","103.83","146.01000000000045","47.34","298.2900000000004","194.46000000000043","341.18","201.68999999999974"
Apollo Micro Systems Ltd,APOLLO,"Electronic Equipments","3369.8527122","373.46","12.97","30.3","0","1.2702099919975116","31.119999999999948","11.3","44.08999999999995",,"85.68999999999994","74.38999999999994","14.53","-22.789999999999985"
Mahindra Logistics Ltd,MAHLOG,"Logistics","3365.8316798150004","5527.6900000000005","28.349999999999998","68.16",,"-7.602081923320585","-54.73999999999978","208.99","-26.389999999999787","2.5","250.76000000000022","41.77000000000021","404.7","4726.47"
Tasty Bite Eatables Ltd,TASTYBITE,"Packaged Foods & Meats","3360.57473","558.2","14.02","7","0.012360308285163758","161.80826188620446","41.52000000000007","29.57","55.54000000000007","2","92.11000000000007","62.54000000000007","39.05","60.85999999999999"
Navneet Education Ltd,NAVNETEDUL,"Publishing","3359.039524669","1832.84","39.010000000000005","21.32","0.23379348515323772","11.120925796096733","251.56999999999994","65.43","290.5799999999999","2.6","377.3299999999999","311.8999999999999","257.81","168.50999999999996"
ECOS (India) Mobility & Hospitality Ltd,ECOSMOBLTY,"Tour & Travel Services","3352.5","568.1999999999999","19.79","2.79","0","20.837916208379156","62.51999999999999","18.71","82.30999999999999",,"103.81","85.1","57.25","388.34"
Flair Writing Industries Ltd,FLAIR,"Stationery","3348.93813595","993.26","39.85000000000001","10.67","0","11.96976552127805","118.96999999999996","36.81","158.81999999999996","0","206.29999999999995","169.48999999999995","145.76","42.76000000000005"
Marathon Nextgen Realty Ltd,MARATHON,"Real Estate","3342.6113385","745.84","13.68","90.95","0","34.14930870830452","166.47000000000008","2.97","180.1500000000001",,"274.0700000000001","271.1000000000001","13.54","425.59"
PTC India Financial Services Ltd,PFS,"Specialized Finance","3338.58877533","776.28","55.230000000000004",,"0","2.502789520453616","160.74999999999994","6.48","215.97999999999993","0","222.45999999999992","215.97999999999993","20.59","516.82"
Monarch Networth Capital Ltd,MONARCH,"Investment Banking & Brokerage","3320.07459147","279","40.92",,"0.027504887120350822","36.35717520396954","123.14","1.74","164.06","1","165.8","164.06","40.55","17.679999999999993"
Capacite Infraprojects Ltd,CAPACITE,"Construction & Engineering","3319.0166068900003","1964.66","47.099999999999994","95.63","0","16.09","120.2900000000001","101.36","167.3900000000001","0","364.3800000000001","263.0200000000001",,"1600.28"
Marine Electricals (India) Ltd,MARINE,"Electrical Components & Equipments","3318.25278255","629.41","10.41","12.38","0","2.02","25.899999999999945","10.37","36.309999999999945","0","59.059999999999945","48.68999999999995",,"570.35"
Maithan Alloys Ltd,MAITHANALL,"Iron & Steel","3299.7941925","2086.16","100.57","3.03","0","119.8699485255852","348.96","20.78","449.53",,"473.3399999999999","452.55999999999995","29.42","-5.649999999999892"
Steel Strips Wheels Ltd,SSWL,"Auto Parts","3299.752916775","4843.860000000001","68.75","102.67","0","43.04967872499114","674.6800000000002","104.22","743.4300000000002",,"950.3200000000002","846.1000000000001","358.03","309.7300000000003"
Eraaya Lifespaces Ltd,ERAAYA,,"3283.906305","297.57","0.09",,"0","0.22","0.33999999999997954","0.03","0.4299999999999795","0","0.45999999999997954","0.4299999999999795",,"297.11"
Eveready Industries India Ltd,EVEREADY,"Batteries","3283.6469705","1317.18","13.88","32.32","0.10886215366182407","9.18592886841519","66.77000000000007","30.26","80.65000000000006","1","143.23000000000008","112.97000000000007","160.4","54.06999999999995"
Fino Payments Bank Ltd,FINOPB,"Private Banks","3283.2202854099996","1478.3899999999999","0.08",,"0","10.362401405469939","86.22999999999999","53.45","86.30999999999999",,"139.76","86.30999999999999","177.37","1080.18"
Pokarna Ltd,POKARNA,"Cement","3283.01356","699.13","48.26","39.93","0","28.177009418139637","87.36000000000013","42.58","135.62000000000012",,"218.1300000000001","175.55000000000013","67.14","89.54999999999997"
Vadilal Industries Ltd,VADILALIND,"FMCG - Foods","3269.42041465","1137.83","34.01","17.9","0","203.05154685071844","145.94999999999993","34.91","179.95999999999992",,"232.76999999999992","197.85999999999993","111.52","130.20999999999998"
Kolte-Patil Developers Ltd,KOLTEPATIL,"Real Estate","3265.529432685","1394.78","-1.5199999999999987","97.86",,"-9.124470660642851","-69.34999999999994","14.19","-70.86999999999993","4","41.180000000000064","26.990000000000066","142.09","-535.3900000000001"
Prakash Industries Ltd,PRAKASH,"Iron & Steel","3256.065996698","4091.76","-2","57.46","0","19.44194910797182","348.1700000000003","152.8","346.1700000000003",,"556.4300000000003","403.6300000000003","242.05","554.25"
Arvind Smartspaces Ltd,ARVSMART,"Real Estate","3249.6287594650003","350.88000000000005","34.14","40.94","0","9.170936123139342","41.57000000000015","4.5","75.71000000000015",,"121.15000000000015","116.65000000000015","53.9","77.80999999999995"
Kitex Garments Ltd,KITEX,"Apparel & Accessories","3230.9025","631.17","30.39","7.33","0.17709563164108616","8.47","56.329999999999984","20.71","86.71999999999998","1.5","114.75999999999999","94.04999999999998",,"516.41"
Solara Active Pharma Sciences Ltd,SOLARA,"Pharmaceuticals","3200.2567668799998","1294.29","78.97000000000001","105.11","0","-145.27352319474616","-567.3900000000001","103.33","-488.42000000000013","0","-279.98000000000013","-383.3100000000001","243.92","371.5100000000001"
Venky's (India) Ltd,VENKEYS,"Packaged Foods & Meats","3198.6000754799998","3777.4","30.36","18.18","0.12469850278199315","56.13539732901125","79.07999999999986","35","109.43999999999986","7","162.61999999999986","127.61999999999986","273.87","194.25000000000009"
Hindustan Oil Exploration Company Ltd,HINDOILEXP,"Oil & Gas - Exploration & Production","3194.9978622400004","800.68","21.86","32.07","0","17.11796154145992","226.42999999999995","80.02","248.28999999999996",,"360.37999999999994","280.35999999999996","1.73","428.21"
GTL Infrastructure Ltd,GTLINFRA,"Telecom Infrastructure","3188.948215803","1423.25","0","805.09","0","-0.5348588524100781","-681.36","277.99","-681.36","0","401.72","123.73000000000002","71.77","182.98999999999998"
Max Ventures and Industries Ltd,MAXVIL,"Packaging","3181.04884128","131.28","4.550000000000002",,"0","1.15","17.520000000000003","14.91","22.070000000000004","0","36.980000000000004","22.070000000000004",,"94.3"
SJS Enterprises Ltd,SJS,"Auto Parts","3178.5917486400003","635.5","27.84","8.78","0","27.588087984138404","84.79999999999998","38.74","112.63999999999999","0","160.16","121.41999999999999","70.77","71.96000000000001"
KCP Ltd,KCP,"Cement","3175.1992496400003","2916.1699999999996","104.35000000000001","42.1","0.06837505171042166","14.625217458483926","188.54999999999995","89.35","292.9","1","424.35","335","136.25","584.8699999999998"
Confidence Petroleum India Ltd,CONFIPET,"Oil & Gas - Storage & Transportation","3163.931452489","2715.7999999999997","41.199999999999996","73.8","0","3.370428068935594","101.36999999999989","160.31","142.56999999999988",,"376.6799999999999","216.3699999999999","30.86","173.60999999999973"
Fusion Finance Ltd,FUSION,"Consumer Finance","3101.5630302","2412.42","157.97",,"0","50.11439856919718","505.28999999999996","9.01","663.26",,"672.27","663.26","431.22","1308.93"
Genesys International Corporation Ltd,GENESYS,"IT Services & Consulting","3094.8336959400003","203.27","15.1","4.56","0","5.7105351468754515","22.070000000000036","44.48","37.17000000000004",,"86.21000000000004","41.73000000000004","45.05","62.06000000000001"
ADF Foods Ltd,ADFFOODS,"Packaged Foods & Meats","3077.27929595","531.39","22.78","2.34","0.1811582279489905","6.624043597610643","75.27999999999997","15.59","98.05999999999997","1.2","115.98999999999998","100.39999999999998","33.54","77.01000000000002"
Welspun Specialty Solutions Ltd,WELSPLSOL,"Iron & Steel","3060.2046975880003","718.17","-33.87","33.25","0","1.1784810025429007","62.470000000000006","15.48","28.60000000000001",,"77.33000000000001","61.85000000000001","41.65","24.76999999999996"
Ashapura Minechem Ltd,ASHAPURMIN,"Metals - Diversified","3052.5364615900003","2868.36","21.669999999999998","75.99","0","31.370886536225424","286.99999999999994","78.63","308.66999999999996",,"463.28999999999996","384.65999999999997","120.88","249.3000000000002"
CARE Ratings Ltd,CARERATING,"Stock Exchanges & Ratings","3049.7266902650003","378.37","46.11","1.71","0.5332018752487069","33.758320882881506","100.51999999999997","10.48","146.62999999999997","18","158.81999999999996","148.33999999999997","164.58","16.42000000000001"
NRB Bearings Ltd,NRBBEARING,"Industrial Machinery","3047.731157","1319.99","76.42999999999999","22.27","0.16597028776677952","24.70321679360643","239.42999999999984","43.32","315.85999999999984","4.1","381.4499999999998","338.1299999999998","169.84","167.1400000000001"
Stove Kraft Ltd,STOVEKRAFT,"Home Electronics & Appliances","3040.10079282","1364.3899999999999","11.41","26.35","0.24194000439367372","10.333140260393293","34.139999999999915","49.28","45.54999999999992","2.5","121.17999999999992","71.89999999999992","166.56","-0.43000000000007077"
Rane Holdings Ltd,RANEHOLDIN,"Auto Parts","3038.46053329","3604.83","-48.06999999999999",,"0.2883939767310338","86.68696996857138","123.76999999999981","137","75.69999999999982","25","212.69999999999982","75.69999999999982","511.32","231.23000000000002"
Dishman Carbogen Amcis Ltd,DCAL,"Labs & Life Sciences Services","3035.63428539","2643.98","31.18999999999999","119.97","0","-9.787407245660015","-153.45000000000024","310.86","-122.26000000000025",,"308.56999999999977","-2.290000000000248","1208.16","216.20000000000022"
Shalby Ltd,SHALBY,"Hospitals & Diagnostic Centres","3025.120364775","953.18","44.120000000000005","17.62","0","7.83058022275519","84.07000000000005","52.24","128.19000000000005",,"198.05000000000007","145.81000000000006","155.44","405.02999999999986"
Sagar Cements Ltd,SAGCEM,"Cement","3022.481339952","2573.52","-40.76","184.83",,"-3.3173294628708123","-43.36000000000009","214.11","-84.12000000000009","0.7","314.81999999999994","100.70999999999992","117.3","617.23"
ideaForge Technology Ltd,IDEAFORGE,"Aerospace & Defense Equipments","3019.5485663","344.41","15.8","4.7","0","14.100892320535092","45.28000000000003","21.17","61.08000000000003","0","86.95000000000003","65.78000000000003","90.6","-24.520000000000003"
TCPL Packaging Ltd,TCPLPACK,"Packaging","3011.8944976049997","1551.95","33.22","55.98","0.1975138121546961","111.3846153846154","101.36000000000001","71.57","134.58","22","262.13","190.56","145.66","165.1200000000001"
NIBE Ltd,NIBE,"Textiles","3008.64125276","285.41999999999996","7.45","6.94","0","14.820938336653736","18.519999999999953","6.28","25.969999999999953",,"39.189999999999955","32.909999999999954","10.08","41.97000000000001"
Oriental Hotels Ltd,ORIENTHOT,"Hotels, Resorts & Cruise Lines","3008.32458792","404.34000000000003","18.14","17.16","0.17982196939186454","2.7805278837226486","49.66000000000004","24.04","67.80000000000004","0.5","109.00000000000004","84.96000000000004","86.91","100.30999999999996"
SMS Pharmaceuticals Ltd,SMSPHARMA,"Pharmaceuticals","3006.8401056","713.72","16.28","23.46","0","5.89","49.82000000000005","31.52","66.10000000000005","0","121.08000000000004","89.56000000000004",,"592.64"
DCW Ltd,DCW,"Commodity Chemicals","2997.594352652","1889.84","9.68","73.51","0","0.5305686536915656","15.660000000000117","93.79","25.340000000000117",,"192.64000000000013","98.85000000000012","151.72","71.14999999999989"
Wendt (India) Limited,WENDT,"Industrial Machinery","2961.63","233.95000000000002","13.26","0.41","0.24420024420024417","204.75000000000003","40.95000000000001","8.55","54.21000000000001","50","63.17000000000001","54.620000000000005","38.66","28.78000000000001"
IOL Chemicals and Pharmaceuticals Ltd,IOLCP,"Commodity Chemicals","2948.1903104400003","2162.86","47.22","16.1","0.21834970616677793","22.899046157547584","134.4300000000002","62.91","181.6500000000002","5","260.6600000000002","197.7500000000002","201.02","56.66999999999999"
Somany Ceramics Ltd,SOMANYCERA,"Building Products - Ceramics","2935.859192","2615.4","45.919999999999995","46.46","0.12924932080924872","23.210953691799425","96.87999999999988","72.51","142.79999999999987","3","261.76999999999987","189.25999999999988","329.18","268.6300000000001"
Premier Explosives Ltd,PREMEXPLN,"Commodity Chemicals","2934.017217125","275.87","12.26","10.5","0.09478348906911145","5.275180360109181","28.359999999999992","11.52","40.61999999999999","0.5","62.639999999999986","51.11999999999999","57.49","27.230000000000008"
Dollar Industries Ltd,DOLLAR,"Apparel & Accessories","2932.223404","1576.77","31.53","19.57","0.1886554606940905","15.902004580002984","90.18999999999988","21.27","121.71999999999989","3","162.5599999999999","141.28999999999988","89.37","269.24000000000007"
Rajratan Global Wire Ltd,RAJRATAN,"Iron & Steel","2930.755975","898.93","21.970000000000002","19.55","0.1413058610608383","14.153694581280766","71.82999999999988","17.72","93.79999999999988","2","131.06999999999988","113.34999999999988","38.52","48.61000000000003"
Paramount Communications Ltd,PARACABLES,"Cables","2927.6796868700003","1078.56","-3.65","5.91","0","3.4411880731966225","85.61999999999989","9.38","81.96999999999989","0","97.25999999999988","87.87999999999988","27.02","15.040000000000056"
Vishnu Prakash R Punglia Ltd,VPRPL,"Construction & Engineering","2923.898952","1482.6499999999999","42.330000000000005","43.3","0","11.205568394409573","122.18999999999974","11.18","164.51999999999975","0","218.99999999999977","207.81999999999977","38.38","569.3000000000001"
Automotive Axles Ltd,AUTOAXLES,"Auto Parts","2895.529969875","2244.88","56.809999999999995","2.65","0.2910521817634663","109.94592037109659","166.15000000000023","36.38","222.96000000000024","32","261.99000000000024","225.61000000000024","133.22","162.57999999999993"
Thejo Engineering Ltd,THEJO,"Construction & Engineering","2895.380661535","562.62","20.990000000000002","6.43","0.057878569117382636","51.832656642145835","55.63000000000006","20.44","76.62000000000006","3","103.49000000000007","83.05000000000007","171.54","123.86000000000001"
BF Utilities Ltd,BFUTILITIE,"Renewable Energy","2881.19686572","35.59","3.6","0","0","2.68","10.090000000000002","0.71","13.690000000000001","0","14.400000000000002","13.690000000000001",,"21.19"
Foseco India Ltd,FOSECOIND,"Specialty Chemicals","2879.0157172","510.89","22.169999999999998","0.21","0.21874431428962887","114.28868485650648","72.98999999999995","7.79","95.15999999999995","25","103.15999999999995","95.36999999999995","56.36","11.110000000000003"
Dhani Services Ltd,DHANI,"Investment Banking & Brokerage","2876.40032079","479.34000000000003","40.699999999999996",,"0","-6.174061999377695","-375.1999999999999","62.74","-334.4999999999999",,"-271.7599999999999","-334.4999999999999","212.18","288.51999999999987"
Huhtamaki India Ltd,HUHTAMAKI,"Packaging","2875.12002738","2973.6","90.41","31.18","0.09218310914727929","54.239871558374006","409.6299999999999","49.15","500.0399999999999","5","580.3699999999999","531.2199999999999","255.47","174.95999999999975"
Bajel Projects Ltd,BAJEL,"Electric Utilities","2858.34277772","1194.51","-0.6099999999999999","24.1","0","0.3724189397948992","4.2900000000000205","5.82","3.680000000000021","0","33.60000000000002","27.780000000000022","79.86","146.14"
Summit Securities Ltd,SUMMITSEC,"Asset Management","2848.52635749","102.24000000000001","22.630000000000003",,"0","69.46571390491152","75.73000000000002","0.02","98.36000000000001","0","98.38000000000001","98.36000000000001","1.62","1.11"
MM Forgings Ltd,MMFL,"Iron & Steel","2846.441728","1584.86","54.46","42.32","0.14302480930163672","27.96717590137857","135.02999999999994","82.81","189.48999999999995","4","314.61999999999995","231.80999999999995","129.89","123.28000000000003"
Dolat Algotech Ltd,DOLATALGO,"Investment Banking & Brokerage","2845.392","376.77","62.21",,"0.011185682326621925","8.94","157.32","1.17","219.53","0.1","220.7","219.53",,"156.07"
Nilkamal Ltd,NILKAMAL,"Plastic Products","2822.073315375","3218.92","38.410000000000004","40.1","0.24413128834355857","81.92313298185117","122.24999999999986","115.41","160.65999999999985","20","316.16999999999985","200.75999999999985","249.42","324.2600000000002"
Stanley Lifestyles Ltd,STANLEY,"Retail - Department Stores","2805.5324085099996",,,,,,,,,,,,,
Ram Ratna Wires Ltd,RAMRAT,"Electrical Components & Equipments","2796.64","2998.58","22.389999999999997","40.64","0.42113323124042895","11.872727272727268","52.23999999999998","19.68","74.62999999999998","5","134.95","115.26999999999998","50.55","71.3999999999999"
SML Isuzu Ltd,SMLISUZU,"Trucks & Buses","2796.50087304","2201.3399999999997","-1.42","30.35","0.2148504088254384","74.47041915102743","107.86999999999982","47.52","106.44999999999982","16","184.31999999999982","136.7999999999998","195.69","-100.60000000000015"
K.P. Energy Ltd,KPEL,"Renewable Energy","2781.6399","481.27","17.759999999999998","13.15","0","8.794377980426782","58.64999999999997","8.41","76.40999999999997",,"97.96999999999997","89.55999999999997","10.21","13.76000000000002"
Kalyani Investment Company Ltd,KICL,"Asset Management","2778.86649348","95.89","21.21",,"0","160.46985022355824","70.05000000000001","0.1","91.26000000000002","0","91.36000000000001","91.26000000000002","0.46","0.13000000000000034"
SG Finserve Ltd,SGFIN,"Specialized Finance","2774.907275","189.72","26.439999999999998",,"0","16.330050284669415","78.59000000000002","0.17","105.03000000000002",,"105.20000000000002","105.03000000000002","10.29","74.22999999999999"
Tinna Rubber and Infrastructure Ltd,TINNARUBR,"Tires & Rubber","2756.0509025","366.53","12.399999999999999","7.59","0.21257818317200322","23.52075798838846","40.28999999999996","6.42","52.689999999999955","5","66.69999999999996","60.27999999999996","34.88","32.95000000000001"
Motisons Jewellers Ltd,MOTISONS,"Apparel & Accessories Retailers","2749.006104","417.16999999999996","12.32","17.15","0","3.9444135086677905","32.22999999999995","1.76","44.54999999999995",,"63.459999999999944","61.699999999999946","8.8","-77.72"
Vindhya Telelinks Ltd,VINDHYATEL,"Telecom Equipments","2746.31899162","4280.71","94.03","88.04","0.06288041917226742","238.5480281056325","282.70000000000005","24.17","376.73","15","488.94000000000005","464.77000000000004","157.73","3082.4400000000005"
HLE Glascoat Ltd,HLEGLAS,"Industrial Machinery","2742.565659","976.74","28.99","32.89","0","4.349196695020691","29.690000000000108","26.31","58.680000000000106",,"117.88000000000011","91.5700000000001","177.45","124.39999999999998"
Ge Power India Ltd,GEPIL,"Construction & Engineering","2727.754635825","1771.4","0","95.51","0","-25.485117534764928","-171.33000000000007","20.14","-171.33000000000007","0","-55.680000000000064","-75.82000000000006","398.58","607.1"
Jash Engineering Ltd,JASH,"Construction & Engineering","2718.538089425","521.97","16.46","11.03","0","55.36","66.77000000000004","10.77","83.23000000000003","0","105.03000000000003","94.26000000000003",,"416.94"
Mayur Uniquoters Ltd,MAYURUNIQ,"Textiles","2715.570237","834.83","36.35","2.61","0.10767417932386075","27.861832974613588","122.46000000000012","29.26","158.81000000000012","3","190.68000000000012","161.42000000000013","45.27","62.00999999999995"
Sai Silks (Kalamandir) Ltd,KALAMANDIR,"Textiles","2703.282494582","1397.03","33.81","60.07","0","7.536810589500564","100.86999999999998","47.91","134.67999999999998",,"242.65999999999997","194.74999999999997","157.25","-3.0099999999999483"
PSP Projects Ltd,PSPPROJECT,"Construction & Engineering","2701.3898476950003","2530.0099999999998","46.49","50.82","0","34.16111111111107","122.97999999999985","64.87","169.46999999999986","0","285.15999999999985","220.28999999999985","104.15","1144.52"
Indian Hume Pipe Company Ltd,INDIANHUME,"Water Management","2700.73093905","1397.24","25.86","73.61","0.09770282751513588","15.352677482825394","77.63000000000002","13.89","103.49000000000002","1.5","190.99","177.10000000000002","91.67","991.6999999999998"
Insecticides (India) Ltd,INSECTICID,"Fertilizers & Agro Chemicals","2691.92327515","1976.17","29.820000000000004","10.89","0.08672935241258041","34.590365505425346","102.38000000000021","29.25","132.20000000000022","3","172.34000000000023","143.09000000000023","117.33","187.27"
Vertoz Ltd,VERTOZ,"Advertising","2689.0065","156.95000000000002","0.06","1.78","0","0.29240740740740806","15.790000000000035","5.69","15.850000000000035","0","23.320000000000036","17.630000000000035","12.16","113.96999999999998"
Pondy Oxides and Chemicals Ltd,POCL,"Commodity Chemicals","2688.35842803","1544.7099999999998","12.14","17.62","0.18999495923487214","26.316487659122526","31.889999999999617","13.18","44.02999999999962","5","74.82999999999961","61.649999999999615","25.38","31.65000000000012"
Accelya Solutions India Ltd,ACCELYA,"Software Services","2684.1895156299997","520.74","42.32","1.85","0.6362334976936536","62.87","93.84","30.51","136.16","40","168.51999999999998","138.01",,"352.22"
Krsnaa Diagnostics Ltd,KRSNAA,"Hospitals & Diagnostic Centres","2682.95640767","636.43","13.170000000000002","16.49","0.14008308991729726","17.846550939702706","56.82999999999997","74.55","69.99999999999997","2.5","161.03999999999996","86.48999999999997","111.47","227.82"
RIR Power Electronics Ltd,RIR,"Electronic Equipments","2678.4767944","68.7","2.48","1.25","0","10.14","7.020000000000005","1.08","9.500000000000005","0","11.830000000000005","10.750000000000005",,"56.87"
Goodyear India Ltd,GOODYEAR,"Tires & Rubber","2678.367460305","2568.68","33.18","4.24","0.9970762119135484","41.12022682931574","94.84999999999994","55.29","128.02999999999994","41","187.55999999999995","132.26999999999995","182.8","44.90999999999981"
Deep Industries Ltd,DEEPINDS,"Oil & Gas - Equipment & Services","2673.92","464.2","29.939999999999998","8.46","0.18914728682170545","12.899999999999999","123.84","34.37","153.78","2.44","196.61","162.24","48.14","195.71999999999997"
Unitech Ltd,UNITECH,"Real Estate","2668.62706794","515.42","-496.28","3090.9","0","-12.715088746436605","-3326.6500000000005","6.19","-3822.9300000000003",,"-725.8400000000001","-732.0300000000002","39.53","1105.65"
Dreamfolks Services Ltd,DREAMFOLKS,"Logistics","2668.32360455","1138.34","23.45","1.17","0","13.11031150221713","69.00999999999992","3.7","92.45999999999992",,"97.32999999999993","93.62999999999992","28.49","999.8900000000001"
Baazar Style Retail Ltd,STYLEBAAZA,"Retail - Speciality","2650.40837856","982.8200000000002","7.280000000000001","49.43","0","3.140796405760795","21.940000000000133","73.45","29.220000000000134","0","152.10000000000014","78.65000000000013","80.08","-104.67999999999999"
Meghmani Organics Ltd,MOL,"Commodity Chemicals","2648.1738791430002","1603.96","-15.15","46.36","0","-4.1692518708677255","-106.02999999999996","92.22","-121.17999999999996","0","17.400000000000034","-74.81999999999996","113.27","334.44000000000005"
Novartis India Ltd,NOVARTIND,"Pharmaceuticals","2647.3472543400003","396.75","37.650000000000006","1.49","0.7245802617678132","34.50273395386953","85.19","2.61","122.84","25","126.94","124.33","22.96","22.90999999999999"
SBI Gold ETF,SETFGOLD,"Gold","2644.090741",,,,,,,,,,,,,
63 Moons Technologies Ltd,63MOONS,"IT Services & Consulting","2631.28842174","620.08","-8.61","0.97","0","48.289293559819406","222.51","30.29","213.89999999999998",,"245.15999999999997","214.86999999999998","191.57","56.90000000000005"
MSP Steel & Power Ltd,MSPL,"Iron & Steel","2621.367186372","2912.27","6.34","87.68","0","0.37232593438241524","14.349999999999856","55.41","20.689999999999856","0","163.77999999999986","108.36999999999986","66.51","253.59000000000026"
DEN Networks Ltd,DEN,"Cable & D2H","2621.258995172","1239.1399999999999","30.880000000000003","2.48","0","3.684407690269561","175.6599999999996","72.79","206.5399999999996","0","281.8099999999996","209.01999999999958","62.93","786.7600000000001"
