Name,Ticker,"Sub-Sector","Market Cap","Total Revenue","Taxes & Other Items","Interest & Other Items","Payout Ratio","Earnings Per Share","Net Income","Depreciation & Amortization","PBT","Dividend Per Share","EBITDA","PBIT","Employee Cost","Operating & Other expenses"
Greencrest Financial Services Ltd,GREENCREST,"Diversified Financials","35.819784","39.27","0.75",,"0","0.02927432504897289","1.0699999999999983","0.01","1.8199999999999983","0","1.8299999999999983","1.8199999999999983","0.37","37.07000000000001"
Sumeet Industries Ltd,SUMEETINDS,"Textiles","35.652981816","985.71","-4.46","0.02","0","-5.82","-59.00999999999996","23.91","-63.46999999999996","0","-39.539999999999964","-63.44999999999996",,"1025.25"
Sri Havisha Hospitality and Infrastructure Ltd,HAVISHA,"Oil & Gas - Storage & Transportation","35.6203056","16.12","0.18","5.34","0","-0.13713903427924987","-4.159999999999998","2.25","-3.9799999999999986",,"3.610000000000001","1.3600000000000012","5.34","2.6000000000000005"
Global Capital Markets Ltd,GLOBALCA,"Diversified Financials","35.448344","1.2","0",,"0","-4.177480987935045e-18","-1.6653345369377348e-16","0.07","-1.6653345369377348e-16",,"0.06999999999999984","-1.6653345369377348e-16","0.28","0.8500000000000001"
Pentokey Organy (India) Ltd,PNTKYOR,"Commodities Trading","35.352537044","4.8500000000000005","0","0.01","0","1.386978251065065","0.8700000000000007","0","0.8700000000000007",,"0.8800000000000007","0.8800000000000007","0.14","0.3999999999999998"
DSP NIFTY 1D Rate Liquid ETF,LIQUIDETF,"Debt","35.335546641",,,,,,,,,,,,,
COSYN Ltd,COSYN,"IT Services & Consulting","35.3325","15.740000000000002","0.15","0.44","0","0.05333333333333704","0.04000000000000278","0.78","0.19000000000000278",,"1.4100000000000028","0.6300000000000028","10.6","0.41999999999999904"
S P Capital Financing Ltd,SPCAPIT,"Diversified Financials","35.321675","2.55","0.03",,"0","0.94","0.5599999999999998","0","0.5899999999999999","0","0.5899999999999999","0.5899999999999999",,"1.96"
Shaival Reality Ltd,SHAIVAL,"Real Estate","35.3007","2.95","-0.16999999999999998","0.02","0","-0.61","-0.72","0.72","-0.8899999999999999","0","-0.1499999999999999","-0.8699999999999999",,"3.1"
Piotex Industries Ltd,PIOTEX,"Textiles","35.21484","118.94","1.01","0.25","0","16.20893914916527","3.009999999999991","0.02","4.019999999999991","0","4.28999999999999","4.269999999999991","0.42","0.24000000000000515"
A G Universal Ltd,AGUL,"Iron & Steel","35.20728","78.95","0.6399999999999999","1.52","0","4.057178894261092","1.9300000000000017","1.31","2.5700000000000016",,"5.400000000000002","4.090000000000002","1","-2.8200000000000056"
Purshottam Investofin Ltd,PURSHOTTAM,,"35.1377514","79.23","2.98",,"0","13.336357089714035","8.379999999999987","0.28","11.359999999999987",,"11.639999999999986","11.359999999999987","0.37","67.22000000000001"
Maks Energy Solutions India Ltd,MAKS,"Electrical Components & Equipments","35.05536345","66.66000000000001","0.12","1.92","0","0.38934127781808936","0.2700000000000108","0.03","0.3900000000000108",,"2.3400000000000105","2.3100000000000107","1.9","4.440000000000003"
Viji Finance Ltd,VIJIFIN,"Specialized Finance","35.055","1.38","0.05",,"0","0.011586197185044266","0.12999999999999995","0.27","0.17999999999999994","0","0.44999999999999996","0.17999999999999994","0.23","0.14"
Natural Biocon (India) Ltd,NATURAL,,"35.0388252","13.53","0.07","0","0","0.1318936409679225","0.1499999999999989","0","0.21999999999999892",,"0.21999999999999892","0.21999999999999892","0.18","0.18000000000000055"
Consecutive Investments & Trading Co Ltd,CITL,"Investment Banking & Brokerage","34.97676","0.53","0.22",,"0","0.308641975308642","0.17","0","0.39",,"0.39","0.39","0.01","0.13"
Laffans Petrochemicals Ltd,LAFFANSQ,"Trading Companies & Distributors","34.944","14.14","1.19","0.06","0","3.2500000000000018","2.6000000000000014","0.51","3.7900000000000014","0","4.360000000000001","3.8500000000000014","0.87","-0.3100000000000007"
Aspira Pathlab & Diagnostics Ltd,ASPIRA,"Hospitals & Diagnostic Centres","34.89327","13.62","0","0.37","0","-2.6037112600796655","-2.6799999999999997","1.54","-2.6799999999999997",,"-0.7699999999999996","-2.3099999999999996","6.2","2.7199999999999998"
Epuja Spiritech Ltd,EPUJA,"Movies & Entertainment","34.837024766000006","1.0300000000000002","0","0.01","0","-0.07982876220960755","-0.4700000000000004","0","-0.4700000000000004",,"-0.4600000000000004","-0.4600000000000004","0.18","-3.9499999999999997"
Blue Chip Tex Industries Ltd,BLUECHIPT,"Textiles","34.818735","255.95999999999998","0.18999999999999997","0.46","0.7588461538461992","2.635580334515808","0.5199999999999689","2.55","0.7099999999999689","2","3.7199999999999687","1.1699999999999688","5.35","15.720000000000022"
Bhaskar Agro Chemicals Ltd,BHASKAGR,,"34.80034844","66.69000000000001","0.91","1.87","0","3.3666581185614057","1.7500000000000098","1.58","2.66000000000001",,"6.11000000000001","4.53000000000001","6.22","5.84"
Comfort Commotrade Ltd,COMCL,"Commodities Trading","34.7694","32.26","5.92",,"0","16.686626746506978","16.71999999999999","0.03","22.639999999999993","0","22.669999999999995","22.639999999999993","1.03","2.33"
Alfa Ica (India) Ltd,ALFAICA,"Home Furnishing","34.74804","69.30999999999999","0.55","1.64","0","4.133663366336607","1.669999999999989","0.99","2.219999999999989","0","4.849999999999989","3.8599999999999888","1.29","13.050000000000002"
Pan Electronics (India) Ltd,PANELEC,"Electrical Components & Equipments","34.732","2.03","0","0.7","0","-9.125","-3.6500000000000004","0.98","-3.6500000000000004",,"-1.9700000000000004","-2.95","1.48","-0.03999999999999988"
Markobenz Ventures Ltd,MARKOBENZ,,"34.6368","24.3","0","0","0","2.111157428625605","2.1999999999999993","0","2.1999999999999993","0","2.1999999999999993","2.1999999999999993","0.07","22.03"
Chordia Food Products Ltd,CHORDIA,"Packaged Foods & Meats","34.634910696","3.23","0.22999999999999998","0.06","0","1.9859730721911137","0.7999999999999998","0.84","1.0299999999999998","0","1.9299999999999997","1.0899999999999999","0.31","0.2500000000000001"
Stanrose Mafatlal Investments and Finance Ltd,STANROS,"Asset Management","34.520904","1.4","-0.11",,"0","-18.775580152825665","-7.45","0.48","-7.5600000000000005","0","-7.08","-7.5600000000000005","0.92","5.720000000000001"
Nalin Lease Finance Ltd,NLFL,"Consumer Finance","34.37797956","7.73","1.32",,"0","5.855283020594128","3.84","0.17","5.16","0","5.33","5.16","0.33","2.0700000000000003"
Moxsh Overseas Educon Ltd,MOXSH,"Academic & Educational Services","34.295444","10.99","-0.55","0.31","0","-10.4","-2.339999999999999","0.62","-2.8899999999999992","0","-1.959999999999999","-2.579999999999999",,"12.95"
Aastamangalam Finance Ltd,AASTAFIN,"Consumer Finance","34.2668985","7.03","1.21",,"0","4.04","3.6000000000000005","0.02","4.8100000000000005","0","4.83","4.8100000000000005",,"2.2"
