Name,Ticker,"Sub-Sector","Market Cap","Debt to Equity","Long Term Debt to Equity","Cash Conversion Cycle","Quick Ratio","Current Ratio","Interest Coverage Ratio","Working Capital Turnover Ratio","Net Income / Liabilities","Earning Power"
Eco Friendly Food Processing Park Ltd,EFPL,"FMCG - Foods","215.70315","51.57822506861848","51.46386093321134",,"56.39393939393939","56.64646464646464",,"0.027084292952556425","0.55366269165247","0.25297619047619047"
Garnet International Ltd,GARNETINT,"Textiles","215.5923","17.999269806498727","17.999269806498727",,"3.521212121212121","4.078787878787879",,"2.578915295551493",,
Indbank Merchant Banking Services Ltd,INDBANK,"Investment Banking & Brokerage","215.5449174","0","0","61.7215128509","4.299956464954288","4.299956464954288",,"0.36245366160733017","39.138006094906416","11.848786909911603"
B.A.G. Films and Media Ltd,BAGFILMS,"Movies & TV Serials","215.53280001","51.84829111185886","18.103158198336782",,"1.319308445532436","1.700810893512852","1.8369781312127267","1.5492925075388542","2.3263970072480906","4.874574661707693"
Oil Country Tubular Ltd,OILCOUNTUB,"Oil & Gas - Equipment & Services","214.98137862","46.3339494762785","46.3339494762785","2488.9435199869","0.3653108211818878","2.0410590943975437","-11.76627712854758","1.4242811501597445",,
Cinerad Communications Ltd,CINERAD,"Advertising","214.49847651","0.5123825789923142","0.5123825789923142",,"4.76984126984127","4.76984126984127",,,,
Mangalam Drugs and Organics Ltd,MANGALAM,"Pharmaceuticals","214.425275656","58.27191366148986","16.787312450644908","111.0339411393","0.41802237677653475","1.2494103416994258","0.20402298850574777","7.667463866070497",,"0.7896785674563476"
Shri Bajrang Alliance Ltd,SHBAJRG,"Iron & Steel","214.245","19.772508065320782","0",,"0.5719447204407911","1.0268268449101254","5.638095238095173","128.183035714286","35.499565595134605","1.4238641556629703"
Shahlon Silk Industries Ltd,SHAHLON,"Textiles","214.1472751","129.38199513381994","52.05839416058393",,"0.9464419475655433","1.442634207240949","1.4140730717185335","5.302713277196563","1.842615683014651","6.545773434808458"
AMJ Land Holdings Ltd,AMJLAND,"Real Estate","213.487","8.33935620170123","5.2093178406627025",,"2.096840257460504","3.430076067875951","9.169491525423727","0.8273744541484717","22.284681790805042","7.066353187042841"
Tainwala Chemicals and Plastics (India) Ltd,TAINWALCHM,"Plastic Products","213.261979825","0","0",,"5.269230769230754","10.807692307692278","554.9999999999998","7.243647234678626","85.30973451327438","4.505235814595339"
GTL Ltd,GTL,"Telecom Infrastructure","213.137138255",,,,"0.029428250649313488","0.029428250649313488","8.301697263595429","-0.06543772636164175","3.5362541540082315","116.65612071063522"
Caspian Corporate Services Ltd,CASPIAN,"Asset Management & Custody Banks","212.9412","166.9072164948454","24.793814432989706",,"1.2551755175517552","1.2551755175517552","4.2527881040892215","7.543215031315243","8.518877057115205","10.180653199252475"
Shigan Quantum Technologies Ltd,SHIGAN,"Auto Parts","212.7543765","63.21448783248443","9.94623655913978",,"1.054728425696168","1.769092914254205","2.454148471615721","3.279497818916905","5.8772687986171155","7.410826135689326"
Beacon Trusteeship Ltd,BEACON,"Diversified Financials","212.714350575","0","0",,"2.1093117408906883","2.1093117408906883",,"3.2857142857142865","66.23876765083442","26.22403560830861"
Ansal Properties and Infrastructure Ltd,ANSALAPI,"Real Estate","212.181772848",,,,"0.16489434136982503","0.7761876949986536","-1.3108672936259171","-0.4648305503033617",,
Surana Solar Ltd,SURANASOL,"Renewable Energy Equipment & Services","211.9820328","0","0","584.6798461919","7.230769230769229","14.952991452991451","-10.249999999999934","0.621132323897301",,
United Nilgiri Tea Estates Company Ltd,UNITEDTEA,"Tea & Coffee","211.97931255","0","0",,"6.614916286149163","7.611872146118721","204.9000000000001","2.2421349002325868","126.33647798742152","9.444572482138746"
Signet Industries Ltd,SIGIND,"Plastic Products","211.9464","133.13894948816917","12.527269676120165",,"0.8138834022276976","1.3714186808935227","1.4086402266288935","6.808741336910348","2.921293149029365","10.36045421398061"
