Name,Ticker,"Sub-Sector","Market Cap","Domestic Institutional Holding","Mutual Fund Holding","Foreign Institutional Holding","Promoter Holding","MF Holding Change – 3M"," MF Holding Change – 6M","FII Holding Change – 3M","Promoter Holding Change – 6M ","DII Holding Change – 3M","DII Holding Change – 6M","FII Holding Change – 6M","Promoter Holding Change – 3M","Insurance Firms Holding","Retail Investor Holding"
DCW Ltd,DCW,"Commodity Chemicals","2997.594352652","0.01816503088612585","0.0037285491914914666","7.358568463703262","44.85733813564145","0","0","0.10168453277553535","-0.23892631308380885","0","-0.0037295656065368527","-0.5161230242615185","0.7774887323023236","0","31.71736938491545"
Wendt (India) Limited,WENDT,"Industrial Machinery","2961.63","6.78565","6.69315","0.0446","75","0","-0.04054999999999964","-0.002700000000000001","0","0","-0.04054999999999964","0.027250000000000003","0","0","16.2093"
IOL Chemicals and Pharmaceuticals Ltd,IOLCP,"Commodity Chemicals","2948.1903104400003","0.09849502692268945","0.08571939304769083","1.3868291254881018","48.18982213966929","0.009178015375799015","0.02417660954504741","-0.020044117840947617","0","-0.2037492158741782","-0.27392151420492067","-0.794220275980265","0","0","28.4801874277474"
Somany Ceramics Ltd,SOMANYCERA,"Building Products - Ceramics","2935.859192","23.519250251563154","21.36754267062274","1.6305023800337628","55.01658390161649","0.1391901495526504","0.6132274871589303","0.3104652711150868","0.23159768127307956","-0.2988931221194626","0.25843512347412556","0.2052750985739178","0","0.13657330742992935","11.448818421397917"
Premier Explosives Ltd,PREMEXPLN,"Commodity Chemicals","2934.017217125","9.439159602014055","8.891264414788399","0.6238105384376221","41.33415375160466","-0.39985160300101263","0.242991250473505","0.3533924422624906","0","-0.8336868255997647","0.16954608244850178","0.2994966908752679","0","0","27.454612941546408"
Dollar Industries Ltd,DOLLAR,"Apparel & Accessories","2932.223404","0.7835373787910738","0","2.0122409642972756","72.20956581656151","0","-0.030289448572998295","-0.0721893528682851","-0.8815835780021501","0.23330227808249215","0.20301282950949384","1.528805214461074","0","0","11.580949119932745"
Rajratan Global Wire Ltd,RAJRATAN,"Iron & Steel","2930.755975","8.18667546433988","7.590474877390636","0.29100667704004257","65.13890803805322","0","-0.6857556479092386","-0.5799452443323945","0.03939256662268065","0.21660396683145944","-0.49869610604478964","-0.437712473656221","0","0.21660396683145894","15.243995588032538"
Paramount Communications Ltd,PARACABLES,"Cables","2927.6796868700003","0.00029660401258431505","0","7.106215577662514","49.309132796767884","0","0","0.1255656609275002","-4.201529147271366","0","-0.00002527301401156109","-0.4943117141296316","0","0","21.396027753830666"
Vishnu Prakash R Punglia Ltd,VPRPL,"Construction & Engineering","2923.898952","4.101833221013447","4.081776098328039","1.0813011456628476","67.81104585860531","0","0","-0.02697602772696661","0.0012034273611334356","-0.06697875549565158","-0.8731467218638675","-1.9786158980777258","-0.00040114245369693435","0","18.90477921119348"
Automotive Axles Ltd,AUTOAXLES,"Auto Parts","2895.529969875","11.558416421414144","11.508786905748588","0.580513136105638","71.03787559203877","-0.23057211251341947","-0.0936277356202595","0.06386987802719357","0","-0.46223607437148395","-0.4528660218138274","-0.04676423829446519","0","0","13.04401972607816"
Thejo Engineering Ltd,THEJO,"Construction & Engineering","2895.380661535","0.8875018434859026","0.13834791013030437","0.11608311979333405","53.63582458259744","0.13834791013030437","0.13834791013030437","-0.37845092867105845","-0.5141591733013513","0.123864648817688","0.16538659612721018","0.11608311979333405","-0.38844124341181896","0","12.225269872962492"
BF Utilities Ltd,BFUTILITIE,"Renewable Energy","2881.19686572","0.09894437738420907","0.004537052346380824","0.901365490813491","56.73775104713257","0","0","0.016773023244256335","0","-0.0039821992507730886","0","0.1257074111489047","0","0.08375626944176044","26.054234155652168"
Foseco India Ltd,FOSECOIND,"Specialty Chemicals","2879.0157172","0.13891892205054476","0.13891892205054476","0.19365974165026348","74.98435361442077","0.03576316703826017","0.0710409320720606","-0.04771031959964042","0","0.03576316703826017","0.025319194877787526","-0.030502035635083524","0","0","10.952563854242234"
