Name,Ticker,"Sub-Sector","Market Cap","1Y Historical Revenue Growth","5Y Historical Revenue Growth","1Y Historical EBITDA Growth","5Y Historical EBITDA Growth","1Y Historical EPS Growth","5Y Historical EPS Growth"
Kotak Nifty India Consumption ETF,CONS,"Equity","5.369101517",,,,,,
Multipurpose Trading and Agencies Ltd,ZMULTIPU,"Specialized Finance","5.34105","2.941176470588225","10.756634324828983","4.999999999999976","28.473515712343932","-5.000000000000019","25.92746769380385"
BGIL Films & Technologies Ltd,BGIL,"Movies & TV Serials","5.312658470000001",,"-58.078801633231734","-156",,"-38.44881111111113",
Ishaan Infrastructures and Shelters Ltd,IISL,,"5.309172","5.263157894736836","-50.396633391898106","-300.0000000000003",,"-700.0000000000011",
ADITYA BSL Nifty 200 Quality 30 ETF,NIFTYQLITY,"Equity","5.3081630099999995",,,,,,
Looks Health Services Ltd,LOOKS,"Health Care Equipment & Supplies","5.2605","-2.127659574468088","-23.880300469411498","139.99999999999991","-25.701323901896565","92.85714285714283",
Relic Technologies Ltd,RELICTEC,"Diversified Financials","5.256","4.458598726114649","-6.377162345082832","-248.936170212766",,"-486.9565217391304",
P M Telelinnks Ltd,PMTELELIN,"Commodities Trading","5.1987","-4.184884447220494","6.079594551641798","-52.173913043478606","-9.380004555509004","-50.0000000000005","-10.58870393420197"
Abhishek Infraventures Ltd,ABHIINFRA,"Construction & Engineering","5.190372",,,,,,
Checkpoint Trends Ltd,CHECKPOINT,"Health Care Distributors","5.1894167","-2.5862068965517238","8.25624780638632","137.49999999999972",,"134.17687499999997",
Purohit Construction Ltd,PUROHITCON,"Construction & Engineering","5.154552",,,"41.89189189189188",,"38.66666666666665",
Jayabharat Credit Ltd,JAYBHCR,"Specialized Finance","5.125","-88.50574712643679","7.394092378577932","-78.33333333333329",,"27.51677852348994",
Asia Capital Ltd,ASIACAP,"Investment Banking & Brokerage","5.11726","10.204081632653072","-55.43493855084991","0","2.3836255539607887","0","3.303780411392987"
Sashwat Technocrats Ltd,SASHWAT,"Software Services","5.106435275","89.99999999999999",,"133.33333333333334",,"133.33333333333334",
Afloat Enterprises Ltd,ADISHAKTI,"Trading Companies & Distributors","5.10496","-42.61083743842365","138.8069342435359","-18.181818181818883","24.573093961551695","-71.42857142857197","-72.89640594618498"
52 Weeks Entertainment Ltd,SHAQUAK,"Movies & TV Serials","5.09248",,"-45.75217200773849","206.25",,"206.24999999999997",
Ahimsa Industries Ltd,AHIMSA,"Plastic Products","5.07012","-29.240324892498805","-17.267603595688506","-96.85039370078731","-56.80478192323357","-1030.000000000011",
Sujana Universal Industries Ltd,SUJANAUNI,"Iron & Steel","5.06523216","-19.789315274642593","-55.02923644345821","-76.75470596818907",,"-46.265335442561174",
Pushpanjali Realms and Infratech Ltd,PUSHPREALM,"Real Estate","5.055555","-53.9057239057239","63.269208797876765","-153.9765319426336",,"-167.61740000110305",
Ekam Leasing and Finance Co Ltd,EKAMLEA,"Investment Banking & Brokerage","5.04","91.17647058823528","8.116539326132877","462.4999999999999","40.30716644924088","453.3333333333331","16.216334139411682"
Gyan Developers and Builders Ltd,GYANDEV,"Real Estate","5.034","714.2857142857141","-17.37287761491081","207.1428571428571","16.465861577965658","200.7142857142857","23.040991364436337"
Galada Finance Ltd,GALADAFIN,"Investment Banking & Brokerage","5.004","54.255319148936174","2.6863829080931545","490.000000000001",,"3300.0000000000477",
Pasupati Fincap Ltd,PASUFIN,"Diversified Financials","4.9914",,,"14.285714285714297",,"14.285714285714304",
Swadha Nature Ltd,SWADHATURE,,"4.9911955","59.999999999999986","39.76542375431586","299.9999999999996",,"99.99999999999976",
Desh Rakshak Aushdhalaya Ltd,DESHRAK,"Pharmaceuticals","4.988676175999999","-2.4271844660194053","1.6362198786119553","-2.9850746268656425","10.197228772148016","9.186513170731844","5.141710886515893"
Datiware Maritime Infra Ltd,DATIWARE,"Packaged Foods & Meats","4.975","-11.224489795918357",,"-2.8571428571427955",,"-8.737864077669888",
Pae Ltd,PAEL,"Batteries","4.94931","-46.446886446886445","28.211500922000553","-49.26527455529777",,"-47.03947368421054",
Sikozy Realtors Ltd,SIKOZY,"Real Estate","4.948713",,,"-44.44444444444446",,"-40.000000000000014",
Manipal Finance Corp Ltd,MNPLFIN,"Consumer Finance","4.94476699","24.13793103448274","-26.944775526792252","23.529411764705827",,"21.052631578947324",
Bharatiya Global Infomedia Ltd,BGLOBAL,"IT Services & Consulting","4.94305032","-31.390134529147986","-47.581339816183466","21.229050279329595",,"7.387699650735274",
Ambitious Plastomac Company Ltd,AMBIT,"Investment Banking & Brokerage","4.90945",,"48.48061099853158","112.50000000000011",,"112.5000000000001",
Kaarya Facilities & Services Ltd,KAARYAFSL,"Diversified Support Services","4.8901849340000005","30.482941958351816","10.557138922580123","39.232053422370605",,"35.17329910141206",
People's Investment Ltd,PEOPLIN,"Diversified Financials","4.861","0","0","0",,"0",
Vallabh Steels Ltd,VALLABHSQ,"Building Products - Pipes","4.851",,,"93.78663540445486",,"82.20675944333996",
IMP Powers Ltd,INDLMETER,"Heavy Electrical Equipments","4.836475279999999","0","-41.49283321871108","-1.5657618681359636e-14",,"-0.018158497209950285",
Elango Industries Ltd,ELANGO,"Power Infrastructure","4.8349987","5080","66.89908421376924","15.384615384615142",,"6.666666666666444",
East India Drums and Barrels Manufacturing Ltd,PRECISION,"Metal, Glass & Plastic Containers","4.8343392","18550","141.9353134328852","8658.823529411766","244.467575023231","7016.856571428571",
Encode Packaging India Ltd,ENCODE,,"4.8321693","86.34538152610438","22.24013245995671","77.27272727272698",,"407.3297500000013",
