Name,Ticker,"Sub-Sector","Market Cap","Return on Equity","Return on Assets","Net Profit Margin","5Y Avg Return on Equity","5Y Avg Return on Assets","5Y Avg Net Profit Margin","5Y Avg EBITDA Margin","EBITDA Margin","5Y Avg Return on Investment","Return on Investment","5Y Avg Cash Flow Margin","Cash Flow Margin","ROCE"
Apollo Tyres Ltd,APOLLOTYRE,"Tires & Rubber","32447.307331140004","13.004793358405989","6.3588879609114555","6.744021635891145","7.031293842509922","3.2504201005264726","3.785656782877942","13.9831290755817","17.80166969232306","7.042167157181015","11.957544122518454","12.340329634045837","13.471593101111756","15.46678244452648"
Inox Wind Ltd,INOXWIND,"Heavy Electrical Equipments","32418.83741216","-1.8334606569900798","-0.6301283629439685","-2.247528219150688","-20.46650631354983","-6.419268133542855","-48.95951974819227","-17.729812441488892","17.16713629113381","-2.587077219604903","3.820306095063725","-31.514537884991","-19.99488692887829","7.568143343541352"
Embassy Office Parks REIT,EMBASSY,"Real Estate","32216.064643341","4.046935433868141","2.0563931197872503","24.23720546677795","3.125442062155969","1.8177429744303297","25.1057513680263","76.56915378985818","79.07770749318665","4.208608938182956","5.098423151698263","70.85241551511332","65.1392338867826","5.167597699036959"
NBCC (India) Ltd,NBCC,"Construction & Engineering","31534.2","17.703176317587676","3.121832067715234","3.7646752209427587","12.171734507009464","1.8318757808474504","2.72841247122356","4.367584090889784","5.320250984597991","12.08253388610084","16.793760257281633","1.0668593647329578","0.6848358315856973","20.892793435604744"
Delhivery Ltd,DELHIVERY,"Logistics","31499.3930046","-2.720149068404353","-2.200978025991493","-2.8965712844345","-12.196304594608014","-8.795666899302521","-10.089838317836879","0.43980938580404405","6.574736746666531","-7.487828677227161","-1.5577870445870219","-3.8812753245096725","5.491152432950169","-1.5428653977828273"
Central Depository Services (India) Ltd,CDSL,"Stock Exchanges & Ratings","31436.735","30.323551542513172","25.885026804021837","46.19369344545966","24.362057621545677","21.00725062088862","45.86995752599861","62.96110623575246","64.29555499222978","22.545839098845214","27.790446391875594","41.27092472145797","42.53672945299843","36.08024030570206"
Hindustan Copper Ltd,HINDCOPPER,"Mining - Copper","30968.9442405","13.523749335971132","8.850865125535366","16.667889576854265","4.02687442026473","3.313349079114972","-0.9448856603955733","20.1636417797749","33.98994203405711","6.306197956941533","12.438336716422672","33.19914684607621","16.484453048715096","15.761268454964908"
Motherson Sumi Wiring India Ltd,MSUMI,"Cables","30938.913308135998","42.45003824028197","21.14766590464831","7.657976508980095",,,,,"12.238605415651879",,"34.38194121597189","0","9.489988122518026","45.660476065916804"
Vedant Fashions Ltd,MANYAVAR,"Textiles","30870.009693109998","27.595144182079842","17.723848262256634","28.817840244920674","25.53369791313944","16.733479983718247","26.93451360662645","49.024195096484696","50.63665460617868","21.19941359913278","22.414601964521328","33.113275428002666","33.612580016699134","27.764509754338633"
ZF Commercial Vehicle Control Systems India Ltd,ZFCVINDIA,"Auto Parts","30867.8462016","15.634436148647369","12.693609160510384","10.393891271381714",,,,,"16.909732078241245",,"14.746031802917974","0","4.931887982774449","19.20337926543463"
Poonawalla Fincorp Ltd,POONAWALLA,"Consumer Finance","30806.107041495","22.376622729010485","7.114092455933529","30.663192324863104","4.082398968390634","1.8665386543931148","11.94209202595214","17.584281943400136","40.544657743925214","1.8179716458819695","7.196529072651692","-83.51395134865297","-137.69490784186885","12.411557651287564"
TVS Holdings Ltd,TVSHLTD,"Auto Parts","30786.68444082","10.405635025981962","1.9135819514739383","1.9869658969436084","8.42437282824535","1.7279883049946148","1.781569367612478","8.220281725122828","9.474226962798795","2.0500133811229437","2.409057978539142","-2.4151360763982224","-2.151307208526285","9.931902228638144"
Gland Pharma Ltd,GLAND,"Pharmaceuticals","30339.02979045","9.260689006962957","7.968290236146964","13.23847978392311",,,"23.04686313863092","34.79213838234013","25.76384413946282","14.793572087545408","8.780333354954532","17.139285382089046","17.08323621755762","12.577992366843095"
Piramal Pharma Ltd,PPLPHARMA,"Pharmaceuticals","30267.644210047998","0.24269877772154216","0.12128273851250135","0.2119904259318147",,,,,"16.278176168564496",,"3.694560009761088","0","11.950216748909119","5.859802694400329"
Radico Khaitan Ltd,RADICO,"Alcoholic Beverages","30167.548190179998","11.28217045256485","6.698322545040601","6.342045168656708","13.601657874536906","8.747345568838028","8.668872449569829","14.240485288963246","12.624823408743406","11.662860619053413","9.878237061728571","7.494154805991085","4.4237319296344335","14.156234716282107"
Sumitomo Chemical India Ltd,SUMICHEM,"Commodity Chemicals","30001.15446228","15.313913470483781","11.06235088801147","12.571352759880527","21.214657798224767","13.298886180120899","12.355907852250372","18.34947375506585","19.418496268225145","19.478764816272868","15.162437368676253","13.79056165796014","25.757410821806896","20.250019906043473"
Century Textiles and Industries Ltd,CENTURYTEX,"Paper Products","29990.85096","1.2424926078697693","0.53443979540464","1.1056868584532582","4.4555726049163376","2.2818442806124195","4.265025248062072","13.046377003260734","9.86409220111115","4.277491409028826","1.304349803453097","3.8311861275967987","-6.899984901564767","3.443303124155857"
Global Health Ltd,MEDANTA,"Hospitals & Diagnostic Centres","29937.66214536","13.522779645012987","10.769790870893814","15.145538172295712","10.201169782702499","7.745096975175005","10.333400616599125","21.01905964284058","25.441062915463647","9.98852743771681","12.587808455343131","15.475259381313917","14.295306519841535","16.726002725699875"
BASF India Ltd,BASF,"Diversified Chemicals","29747.6232336",,,"4.068911513617463",,,,,"6.975307839338428",,"17.126439162378666","0","5.831285405316377","22.73401147856212"
Multi Commodity Exchange of India Ltd,MCX,"Stock Exchanges & Ratings","29559.77544078","5.816423295086716","2.5844510024037737","10.950799799720642","12.110405887396526","6.309061446021288","32.44890449754514","43.46964620114784","18.206972883231856","11.90551475158235","6.041459862476708","47.04822570842867","68.63651935594382","4.596249280782501"
KPR Mill Ltd,KPRMILL,"Textiles","29365.24074","19.971679818274723","14.052987274050281","13.144408138483497","23.8094660238045","16.010574368244857","13.763658136758655","22.58973251439564","21.28223876845539","17.53804758177022","15.946634279861884","13.518156291945143","11.064903524434708","23.33002666264845"
