Name,Ticker,"Sub-Sector","Market Cap","Reserves & Surplus","Cash and Equivalent","Long Term Investments","Total Debt","Total Assets","Total Deposits – Banks","Total Current Assets","Total Cash Dividend Paid","Total Current Liabilities","Total Equity","Long Term Debt","Operating Cash Flow","Total Liabilities"
CEAT Ltd,CEATLTD,"Tires & Rubber","11897.99006088","3435.13","59.08","182.09","1791.5","9994.5",,"2738.75","48.54","4333.159999999999","4052.35","1058.3","1719.26","5942.150000000001"
Happiest Minds Technologies Ltd,HAPPSTMNDS,"IT Services & Consulting","11860.16695677","547.1899999999999","1336.53","0","512.19","2234.7599999999998",,"1777.77","86.04","566.98","1480.2399999999998","150.14999999999998","212.56","754.52"
Sanofi Consumer Healthcare India Ltd,SANOFICONR,"Pharmaceuticals","11843.957975939999",,,,,,,,,,,,,
Gujarat Mineral Development Corporation Ltd,GMDCLTD,"Mining - Diversified","11808.93","6052.4","510.39","567.89","2.98","7368.35",,"2608.2599999999998","364.11","552.18","6116","2.81","108.6","1252.35"
Jaiprakash Power Ventures Ltd,JPPOWER,"Renewable Energy","11787.94918244","587.81","957.24","524.73","4222.85","17303.27",,"3254.36","0","1787.67","11490.82","3603.46","1927.2","5812.45"
Engineers India Ltd,ENGINERSIN,"Construction & Engineering","11758.488485533","1974.29","1371.31","1235.98","33.02","4741.879999999999",,"2695.0699999999997","168.61","2441.06","2255.31","19.400000000000006","221.96","2486.5699999999993"
Sammaan Capital Ltd,SAMMAANCAP,"Home Financing","11710.629308464","10134.23","4424.15","7192.19","48493.42","73059.67",,"12300.970000000001","58.93","12350.87","19791.9","40916.899999999994","-123.28","53267.77"
Can Fin Homes Ltd,CANFINHOME,"Home Financing","11682.9429275","4044.2400000000002","457.42","1459.03","31862.94","36601.560000000005",,"470.94","53.26","6651.08","4343.85","25606.62","-2569.6","32257.710000000006"
Edelweiss Financial Services Ltd,EDELWEISS,"Diversified Financials","11659.586147619999","1709.8600000000001","3330.79","18491.48","20357.9","42714.479999999996",,"6751.77","140.36","18245.800000000003","6049.289999999999","18419.39","2893.58","36665.189999999995"
Jammu and Kashmir Bank Ltd,J&KBANK,"Private Banks","11584.439510760001","9163.14","8196.48","34900.22",,"154504.58000000002","134763.24","8196.48","51.57","134763.24","12192.72","2885","-852.55","142311.86000000002"
Balrampur Chini Mills Ltd,BALRAMCHIN,"Sugar","11565.275469625","3380.79","2.96","339.42","2009.15","6088.48",,"3037.4300000000003","60.52","2122.56","3400.96","327.06999999999994","177.83","2687.52"
Galaxy Surfactants Ltd,GALAXYSURF,"Specialty Chemicals","11529.8853504","2143.6000000000004","437.32","0","187.42000000000002","2905.93",,"1702","14.28","603.0999999999999","2179.2500000000005","93.00999999999999","518.42","726.6799999999995"
Kirloskar Ferrous Industries Ltd,KIRLFER,"Iron & Steel","11522.25154352","2934.1400000000003","45.6","1.13","1223.51","5907.049999999999",,"2099.21","90.51","1908.2800000000002","3231.2300000000005","524.78","562.7","2675.8199999999983"
Powergrid Infrastructure Investment Trust,PGINVIT,"Power Transmission & Distribution","11516.9498752","-1558.75","561.75","0","569.25","9982.630000000001",,"884.3699999999999","1132.23","27.65999999999997","8177.4","566.37","1229.99","1805.2300000000016"
shipping corporation of India Ltd,SCI,"Logistics","11514.5515272","6551.93","1314.32","657.19","2914.2200000000003","12099.900000000001",,"3648.86","20.43","2916.21","7539.5","1583.83","994.06","4560.4000000000015"
PNC Infratech Ltd,PNCINFRA,"Construction & Engineering","11490.38920035","4543.26","1889.5500000000002","0.56","8025.33","15610.220000000001",,"4663.4400000000005","12.83","2247.4799999999996","5184.82","7270.29","-231.19","10425.400000000001"
Graphite India Ltd,GRAPHITE,"Electrical Components & Equipments","11455.84795419","5370.719999999999","2716.66","922.19","177.12","6790.299999999999",,"4699.049999999999","166.07","1030.58","5615.16","0.3400000000000034","680.26","1175.1399999999999"
Mrs. Bectors Food Specialities Ltd,BECTORFOOD,"FMCG - Foods","11445.14973728","543.6700000000001","127.11","4.07","244.90000000000003","1100.29",,"409.28","17.63","244.76000000000005","662.8900000000001","167.28","153.41","437.39999999999986"
India Cements Ltd,INDIACEM,"Cement","11439.855174915","3751.2000000000003","85.25","317.58","2618.2499999999995","10700.64",,"2786.8900000000003","0.09","2796.75","5599.3","1420.42","343.91","5101.34"
Happy Forgings Ltd,HAPPYFORGE,"Auto, Truck & Motorcycle Parts","11376.65257473","997.3800000000001","117.47","0","143","1885.9699999999998",,"741.76","11.63","241.82999999999998","1612.4900000000002","0","189.02","273.4799999999995"
CE Info Systems Ltd,MAPMYINDIA,"Software Services","11316.192321314998","500.77000000000004","283.95","238.39","25.729999999999997","794.0799999999999",,"436.43","16.21","121.45999999999998","659.71","2.2300000000000004","75.52","134.36999999999986"
Bajaj Electricals Ltd,BAJAJELEC,"Home Electronics & Appliances","11292.56705088","745.08","304.74","4.93","214.9","3833.1800000000003",,"2612.13","46.04","2157.5600000000004","1441.22","172.62","353.79","2391.9600000000005"
Rattanindia Enterprises Ltd,RTNINDIA,"Power Trading & Consultancy","11276.328174264","529.9599999999999","167.33","877.77","1183.5","2688.94",,"1464.91","0","1796.83","845.1999999999999","23.379999999999995","-36.76","1843.74"
Reliance Infrastructure Ltd,RELINFRA,"Power Infrastructure","11187.094397961999","-1782.6599999999999","3252.34","2733.21","9895.29","59159.18",,"12257.599999999999","8.82","34428.47","13858.119999999999","3229.6100000000006","4097.47","45301.06000000001"
JK Tyre & Industries Ltd,JKTYRE,"Tires & Rubber","11156.364084910001","3263.42","780.74","127.12","4609.48","14011.58",,"6556.56","75.32","5685.79","4606.05","2284.71","1614.16","9405.529999999999"
Bengal & Assam Company Ltd,BENGALASM,"Diversified Financials","11007.7068196","8882.07","32.6","9090.25","421.62","10437.210000000001",,"863.53","55.35","660.3499999999999","9241.24","281.37","1817.22","1195.9700000000016"
Home First Finance Company India Ltd,HOMEFIRST,"Home Financing","10968.51255837","992.1100000000001","821.51","378.81","7302.1","9533.96",,"978.37","22.9","116.17","2121.4800000000005","7296.3","-1907.68","7412.479999999999"
Metropolis Healthcare Ltd,METROPOLIS,"Hospitals & Diagnostic Centres","10942.13745666","929.33","124.28999999999999","1.75","197.06","1547.4199999999998",,"315.83","20.5","245.88000000000002","1099.28","119.06","264.07","448.1399999999999"
Sapphire Foods India Ltd,SAPPHIRE,"Restaurants & Cafes","10813.27293795","-165.89999999999986","167.58","0","1163.9199999999998","2836.8700000000003",,"363.4200000000001","0","444.61","1339.8100000000002","1037.28","448.75","1497.0600000000004"
Vesuvius India Ltd,VESUVIUS,"Industrial Machinery","10763.2141848","1156.29","465.3","0","13.03","1588.7",,"1107.66","16.76","357.78000000000003","1193.54","12.67","82.38","395.16"
Bharat 22 ETF,ICICIB22,"Equity","10739.054693185",,,,,,,,,,,,,
City Pulse Multiplex Ltd,CPML,"Movies & Entertainment","10697.7","-3.4200000000000017","1.21","0.18","2.89","94.93",,"4.1","0","1.92","89.97","2.89","0.39","4.960000000000005"
KPI Green Energy Ltd,KPIGREEN,"Renewable Energy","10664.251441735001","347.79999999999995","170.01","0","1036.48","2435.92",,"1333.8600000000001","1.84","894.9200000000001","835.68","621.75","-57.49","1600.2400000000002"
Cera Sanitaryware Ltd,CERA,"Building Products - Ceramics","10659.495197975","1258.32","814.12","25.57","44.470000000000006","1845.52",,"1423.3","65.2","380.36","1358.53","19.430000000000007","236.05","486.99"
Gujarat Pipavav Port Ltd,GPPL,"Ports","10653.56529667","400.99","1044.57","321.1","79.21","2936.4799999999996",,"1129.56","338.39","371.4200000000001","2313.32","56.72999999999999","488.8","623.1599999999994"
Puravankara Ltd,PURVA,"Real Estate","10639.72066239","800.9499999999999","931.13","35.52","3325.32","11726.71",,"10337.789999999999","149.42","9216.410000000002","1889.5099999999998","610.1300000000003","896.39","9837.199999999999"
Nippon India ETF Nifty Bank BeES,BANKBEES,"Equity","10625.94809425",,,,,,,,,,,,,
Usha Martin Ltd,USHAMART,"Iron & Steel","10586.7374274","2211.06","167.71","56","363.83000000000004","3313.1899999999996",,"1789.06","76.19","615.8800000000001","2383.91","257.64","443.84","929.2799999999996"
Rashtriya Chemicals and Fertilizers Ltd,RCF,"Fertilizers & Agro Chemicals","10568.1372436","4054.05","352.94","991.51","3296.6400000000003","11477.279999999999",,"7078.15","203.81","5341.63","4605.74","948.44","-422.27","6871.54"
Triveni Engineering and Industries Ltd,TRIVENI,"Sugar","10501.6300148","2879.01","77.85","55.15","1423.94","5123.79",,"3095.32","169.65","1800.19","2900.9","256.3699999999999","100.25","2222.89"
P N Gadgil Jewellers Ltd,PNGJL,,"10467.18372429","416.38","79.64","0.95","455.19000000000005","1464.99",,"1207.25","0","780.9","534.38","137.67000000000004","6.32","930.61"
Arvind Ltd,ARVIND,"Apparel & Accessories","10432.57669364","2706.71","82.94","159.98","1447.99","7245.030000000001",,"3472.4300000000003","154.24","3099.7","3620.7","359.62","696.36","3624.330000000001"
INOX India Ltd,INOXINDIA,"Sea-Borne Tankers","10333.424475","630.92","258.32","0.19","16.14","1198.8600000000001",,"919.47","99.84","518.88","649.0699999999999","8.559999999999999","125.59","549.7900000000002"
Campus Activewear Ltd,CAMPUS,"Apparel & Accessories","10311.675327975","476.75","24.81","0","177.76000000000002","1115.27",,"681.93","0","294.98999999999995","651.66","151.84","264.47","463.60999999999996"
Route Mobile Ltd,ROUTE,"IT Services & Consulting","10310.14163375","1111.71","771.48","0","378.48999999999995","3461.62",,"2130.38","69.61","1035.25","2170.84","154.55999999999995","-97.59","1290.78"
Isgec Heavy Engineering Ltd,ISGEC,"Heavy Machinery","10270.96960435","2510.71","203.82","16.57","814.39","7807.16",,"5735.3","25.2","4493.9","2618.54","427.73","735.16","5188.62"
Lemon Tree Hotels Ltd,LEMONTREE,"Hotels, Resorts & Cruise Lines","10260.975375057","69.33","61.83","5.24","2335.8500000000004","4027.76",,"205.34","0","359.11","1546.43","2119.02","465.01","2481.33"
Prism Johnson Ltd,PRSMJOHNSN,"Cement","10255.38696092","885.6","669.8299999999999","816.04","2233.7800000000007","7080.639999999999",,"2645.97","0","3359.5600000000004","1652.21","1232.9800000000002","472.81","5428.43"
HG Infra Engineering Ltd,HGINFRA,"Construction & Engineering","10235.774693660002","2120.4100000000003","207.21","10.49","1513.1599999999999","5403.46",,"3057.95","8.15","1761.6200000000001","2455.03","1097.07","-310.65","2948.4299999999994"
Power Mech Projects Ltd,POWERMECH,"Construction & Engineering","10232.77098726","1293.16","480.39","36.24","395.74","3567.56",,"2893.81","2.98","1417.7299999999998","1839.64","39.34000000000001","204.6","1727.9199999999998"
Symphony Ltd,SYMPHONY,"Home Electronics & Appliances","10228.047025","735.22","180.76000000000002","235.93","169.89999999999998","1210.1",,"618.32","42.25","383.93999999999994","749.01","63.78999999999999","161.56","461.0899999999999"
IIFL Securities Ltd,IIFLSEC,"Diversified Financials","10221.5784958","1590.8899999999999","4467.53","159.15","1153.85","7874.73",,"6383.719999999999","92.31","5923.5599999999995","1788.35","162.82999999999993","-117.58","6086.379999999999"
Shriram Pistons & Rings Ltd,SHRIPISTON,"Auto Parts","10195.55201392","1881.62","971.71","4.8","486.58","3135.71",,"1956.87","33.04","804.6700000000001","2020.5499999999997","233.17999999999998","486.73","1115.1600000000003"
RedTape,REDTAPE,"Retail - Apparel","10181.333973","449.11","26.18","0.56","80.7","1238.73",,"783.25","0","443.73","476.76","30.71","124.19","761.97"
Just Dial Ltd,JUSTDIAL,"Online Services","10181.02256104","1749.9900000000002","4625.37","0","85.31","4860.969999999999",,"4686.349999999999","0","610.2199999999999","4023.5","59.05","259.08","837.469999999999"
Birla Corporation Ltd,BIRLACORPN,"Cement","10135.828798875","6596.76","743.87","702.37","3903.4700000000003","14457.600000000002",,"3003.02","19.25","2539.8300000000004","6673.81","3310.29","1619.45","7783.790000000001"
HMT Ltd,HMT,"Industrial Machinery","10126.4106924","-4658.74","250.42","0.19","3763.7999999999997","711.2199999999999",,"634.3899999999999","0","4974.37","-4303.139999999999","-3.268496584496461e-13","102.93","5014.36"
Sheela Foam Ltd,SFL,"Home Furnishing","10081.67837775","1729.88","66.77000000000001","860.16","1493.11","5321.84",,"874.8","0.96","1128.89","2980.69","1118.82","405.95","2341.15"
Shree Renuka Sugars Ltd,RENUKA,"Sugar","10078.399075155","-4854.19","53.56","34.29","5793.969999999999","10163.3",,"5425.43","0","7988.239999999999","-1437.33","3255.8900000000003","913.36","11600.63"
Valor Estate Ltd,DBREALTY,"Real Estate","10027.842838892999","-66.78999999999996","811.22","794.8","2159.9799999999996","9163.04",,"4480.43","0","2036.96","5149.64","1450.1999999999998","236.7","4013.4000000000015"
GMR Power and Urban Infra Ltd,GMRP&UI,"Power Generation","10015.569914134","-13297.789999999999","918.92","413.18","13875.610000000002","19466.850000000002",,"5423.290000000001","0","9465.51","-2982.3100000000004","11700.380000000001","1690.28","22449.160000000003"
Thomas Cook (India) Ltd,THOMASCOOK,"Tour & Travel Services","9997.298186788","-273.6999999999998","1295.68","26.44","417.79","6363.76",,"2891.86","20.96","3381.2","2032.3799999999999","254.88","828.94","4331.38"
CCL Products (India) Ltd,CCL,"Tea & Coffee","9987.888416","1647.21","169.81","0","1622.34","3535.92",,"1741.08","66.51","1277.21","1673.82","519.6299999999999","55.38","1862.1000000000001"
Latent View Analytics Ltd,LATENTVIEW,"IT Services & Consulting","9931.15451652","889.0999999999999","762.5799999999999","328.98","23.99","1455.8799999999999",,"1062.6","0","53.03","1374.4099999999999","19.04","115.37","81.47"
Saregama India Ltd,SAREGAMA,"Movies & TV Serials","9914.41780245","615.7199999999999","659.8100000000001","0","5.43","2033.78",,"1222.05","77.12","296.87999999999994","1472.57","2.25","93.25","561.21"
Senco Gold Ltd,SENCO,"Precious Metals, Jewellery & Watches","9799.63485608","944.3999999999999","551.36","0.15","1761.14","3722.67",,"3283.38","9.26","2111.54","1365.54","236.52","-293.83","2357.13"
Aurionpro Solutions Ltd,AURIONPRO,"IT Services & Consulting","9747.1975109","343.0799999999999","268.71","0.09","81.25","1397.62",,"895.7","6.02","407.32000000000005","945.85","9.910000000000004","163.63","451.7699999999998"
Brookfield India Real Estate Trust,BIRET,"Real Estate","9717.190029927","-654.3","499.69","0","12063.279999999999","25612.100000000002",,"743.04","733.22","1714.53","12261.34","11206.949999999999","1432.83","13350.760000000004"
ELANTAS Beck India Ltd,ELANTAS,"Electrical Components & Equipments","9701.42157068","717.12","574.17","0","0","880.5199999999999",,"758.9599999999999","3.96","123.97","732","0","133.42","148.5199999999999"
Allied Blenders and Distillers Ltd,ABDL,"Alcoholic Beverages","9669.57992007","153.42999999999998","53.02","0","792.65","2499.79",,"1811.08","0","1928.5399999999995","406.09999999999997","152.01","229.86","2093.69"
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,GNFC,"Fertilizers & Agro Chemicals","9623.14532967","8161.82","2193.62","2365.41","2.73","10716.669999999998",,"4526.58","460.56","1126.27","8308.76","1.19","31.28","2407.909999999998"
Prudent Corporate Advisory Services Ltd,PRUDENT,"Asset Management","9601.5879918","459.7","132.05","245.97","20.32","756.5699999999999",,"356.37","6.21","246.67000000000002","481.34999999999997","20.32","149.6","275.22"
India Grid Trust,INDIGRID,"Power Transmission & Distribution","9591.90281","-2354.93","1487.83","0","19303.769999999997","25757.16",,"2406.4300000000003","1024.37","1815.2100000000003","5384.24","18154.92","2664.81","20372.920000000002"
Time Technoplast Ltd,TIMETECHNO,"Plastic Products","9562.79084124","2226.06","153.47","1.51","829.3199999999999","4113.99",,"2574.25","29.44","1145.7199999999998","2616.28","239.24999999999994","406.24","1497.71"
Force Motors Ltd,FORCEMOT,"Four Wheelers","9498.96491973","2182.76","448.76","91.03","524.5","4414.6900000000005",,"2045.97","13.18","1635.9499999999998","2257.3500000000004","381.77","1014.45","2157.3399999999997"
F D C Ltd,FDC,"Pharmaceuticals","9482.05929216","2080.89","476.32","392.76","20.52","2468.09",,"1066.49","0","310.62","2097.17","12.58","220.77","370.92000000000024"
Network18 Media & Investments Ltd,NETWORK18,"Movies & TV Serials","9464.414611760001","-2952.79","350.71000000000004","837.66","6068.98","13980.17",,"8790.24","1.5","8985.25","4595.12","201.61000000000013","-2804.15","9385.050000000003"
Equitas Small Finance Bank Ltd,EQUITASBNK,"Private Banks","9440.851493111","2081.4100000000003","3578.95","9065.27",,"45318.8","36129.2","3578.95","0","36129.2","5968.700000000001","1787.53","-997.67","39350.1"
Eureka Forbes Ltd,EUREKAFORB,"Home Electronics & Appliances","9435.982534799941","161.52999999999975","152.5","0.01","38.74","6128.150000000001",,"607.35","0","951.8199999999999","4226.839999999999","4.09","194.47","1901.310000000001"
Max Estates Ltd,MAXESTATES,"Real Estate","9434.02059611","523.64","349.94","2.69","961.7499999999999","3093.9599999999996",,"993.8899999999999","0","642.5300000000001","1450.53","867.29","270.7","1643.4299999999996"
CMS Info Systems Ltd,CMSINFO,"Software Services","9400.16454928","1556.4","692.14","60.01","0","2658.51",,"1618.12","113.52","551.5699999999999","1946.7600000000002","0","439.89","711.75"
Shoppers Stop Ltd,SHOPERSTOP,"Retail - Department Stores","9377.290626144999","-709.1600000000001","16.74","4.01","2784.54","5294.4400000000005",,"2173.16","0","2676.27","301.41999999999996","2316.75","561.29","4993.02"
Gallantt Ispat Ltd,GALLANTT,"Iron & Steel","9355.668642375","2198.96","55.45","8.89","461.91","3135.54",,"1086.8500000000001","0","465.66999999999996","2450.7400000000002","100.3","344.33","684.7999999999997"
SBFC Finance Ltd,SBFC,"Specialized Finance","9350.438663885001","627.53","486.92","406.11","3996.02","7062.799999999999",,"518.79","0","277.7","2778.0699999999997","3996.02","-1155.17","4284.73"
Avanti Feeds Ltd,AVANTIFEED,"Packaged Foods & Meats","9341.0003928","2351.86","1444.56","38.07","16.529999999999998","3098.1800000000003",,"2504.71","84.9","350.5","2689.27","15.79","262.95","408.9100000000004"
Religare Enterprises Ltd,RELIGARE,"Investment Banking & Brokerage","9337.44425801","-2900.49","811.59","5093.79","840.95","8091.860000000001",,"1859.19","0","4724.260000000001","2677.4600000000005","690.14","1505.96","5414.4"
National Standard (India) Ltd,NATIONSTD,"Real Estate","9313.3","239.14","1.02","0","0","267.59",,"261","0","8.45","259.14","0","-0.98","8.45"
ESAB India Ltd,ESABINDIA,"Industrial Machinery","9300.5396491","281.35","87.78","0.44","4.57","550.99",,"408.8","80.05","234.16","306.06","3.5","141.03","244.93"
Vijaya Diagnostic Centre Ltd,VIJAYA,"Hospitals & Diagnostic Centres","9269.8696491","596.88","182.20999999999998","0.04","259.18","982.74",,"211.32999999999998","10.23","72.86","659.9100000000001","239.05","183.3","322.83"
Choice International Ltd,CHOICEIN,"Investment Banking & Brokerage","9257.16697","378.24","387.57","21.7","455.46","1804.96",,"1412.46","0","906.09","640.2199999999999","224.35999999999999","-148.31","1164.74"
KNR Constructions Ltd,KNRCON,"Construction & Engineering","9245.587475","3391.53","450.53","75.54","1262.44","5803.77",,"2488.75","7.03","1101.71","3497.6800000000003","1166.01","-315.64","2306.09"
JK Lakshmi Cement Ltd,JKLAKSHMI,"Cement","9136.49227457","3043.04","639.7","34.48","2084.0199999999995","7650.04",,"1841.2","67.4","2037.04","3357.03","1611.8799999999999","899.17","4293.009999999999"
Blue Jet Healthcare Ltd,BLUEJET,"Pharmaceuticals","9115.60808375","810.53","320.2","15","3.11","1058.8700000000001",,"705.6500000000001","0","205.96999999999997","845.22","0.3799999999999999","241.26","213.65000000000018"
Transformers and Rectifiers (India) Ltd,TARIL,"Heavy Electrical Equipments","9098.776843125","289.03999999999996","30.98","0.46","255.86999999999998","1169.8300000000002",,"990.1100000000001","2.72","540.89","562.9399999999999","53.14","29.14","606.8900000000002"
Gujarat State Fertilizers & Chemicals Ltd,GSFC,"Fertilizers & Agro Chemicals","9027.10996462","12342.050000000001","2302.97","6015.36","5.11","15050.699999999999",,"5701.129999999999","397.65","1303.5599999999997","12728.300000000001","1.5200000000000005","-268.08","2322.399999999998"
ASK Automotive Ltd,ASKAUTOLTD,"Auto Parts","9003.502542","776.3699999999999","12.65","20.5","345.87","1568.4499999999998",,"458.29999999999995","0","425.86","816.7399999999999","269.26","303.3","751.71"
Lloyds Engineering Works Ltd,LLOYDSENGG,"Industrial Machinery","8995.285637912","136.84","125.22","4.9","75.3","571.28",,"448.28","10.79","139.57000000000002","411.20000000000005","16.44","-44.98","160.0799999999999"
Jupiter Life Line Hospitals Ltd,JLHL,"Hospitals & Diagnostic Centres","8971.72662037","439.14","318.12","0.14","0","1281.3199999999997",,"409.75999999999993","5.65","105.75","1168.74","0","114.52","112.57999999999979"
TVS Supply Chain Solutions Ltd,TVSSCS,"Logistics","8950.08845028","-822.1599999999999","596.83","93.29","2199.02","5770.66",,"3119.09","0","2871.9400000000005","1844.7300000000002","984.0400000000001","127.58","3925.9299999999994"
Rategain Travel Technologies Ltd,RATEGAIN,"Software Services","8910.2299481","281.78999999999996","547.58","22.62","16.66","1721.8000000000002",,"1313.3400000000001","0","247.66999999999996","1450.48","13.84","151.81","271.32000000000016"
Azad Engineering Ltd,AZAD,"Renewable Energy Equipment & Services","8898.574401255","176.94","58.92","0","39.44","797.0600000000001",,"421.70000000000005","0","98.22","645.06","29.129999999999995","-6.95","152.0000000000001"
Keystone Realtors Ltd,RUSTOMJEE,"Real Estate","8861.0977392","861.0799999999999","370.29","452.12","1100.82","5931.780000000001",,"4997.14","0","3333.7200000000003","1794.73","622.52","183.41","4137.05"
HEG Ltd,HEG,"Electrical Components & Equipments","8840.3006493","4387.35","733.85","876.13","622.68","5701.36",,"2629.83","163.5","1167.57","4425.950000000001","2.6599999999999966","612.22","1275.4099999999987"
Maharashtra Seamless Ltd,MAHSEAMLES,"Building Products - Pipes","8823.18074794","5172.719999999999","1156.57","997.84","0","6587.85",,"3613.7","67","430.0899999999999","5730.699999999999","0","1041.42","857.1500000000018"
Shilpa Medicare Ltd,SHILPAMED,"Pharmaceuticals","8819.76199252","1075.06","30.44","39.91","937.39","3093.2200000000003",,"876.84","0","693.35","1799.95","561.4300000000001","135.34","1293.2700000000004"
Star Cement Ltd,STARCEMENT,"Cement","8808.303827681","2669.7","97.34","1.99","146.94","3602.3799999999997",,"765.6999999999999","0","781.0400000000001","2710.12","84.76000000000002","489.75","892.2599999999996"
Karnataka Bank Ltd,KTKBANK,"Private Banks","8770.977756425","7790.06","7992.73","24300.3",,"116203.92","98057.18","7992.73","156.37","98057.18","10847.53","4399.53","362.2","105356.39000000001"
Texmaco Rail & Engineering Ltd,TEXRAIL,"Rail","8711.183454714","839.8900000000003","697.87","134.41","631.1","4184.94",,"3476.12","4.82","1332.87","2530.32","242.73000000000002","95.78","1654.6199999999994"
Archean Chemical Industries Ltd,ACI,"Commodity Chemicals","8692.08249636","736.06","395.35","0","97.82","2054.74",,"726.16","55.42","134.87","1701.5599999999997","90.58","379.35","353.18"
Va Tech Wabag Ltd,WABAG,"Water Management","8690.179456580001","1412.3000000000002","509.7","67.1","288.90000000000003","4574.5",,"3625.3","0","2155","1823.9","193.40000000000003","133.5","2750.6"
JSW Holdings Ltd,JSWHL,"Asset Management","8688.21805408","25423.69","4.08","28191.35","0","29250.949999999997",,"26.68","0","5.5900000000001455","25434.789999999997","0","114.99","3816.159999999998"
Tips Music Ltd,TIPSINDLTD,"Movies & TV Serials","8683.5999087","166.66","222.47","0","5.01","338.88",,"275.62","83.48","83.41","179.5","3.6499999999999995","232.95","159.38"
Kotak Nifty Bank ETF,BANKNIFTY1,"Equity","8642.347920388",,,,,,,,,,,,,
Varroc Engineering Ltd,VARROC,"Auto Parts","8624.028348","179.3599999999999","226.60999999999999","433.71","1389.72","4529.82",,"1695.0899999999997","4.71","2158.74","1526.19","800.11","638.47","3003.6299999999997"
Astra Microwave Products Ltd,ASTRAMICRO,"Communication & Networking","8591.09904888","662.1100000000001","130.91","23.81","237.64","1474.14",,"1234.66","15.32","433.97","966.19","15.469999999999985","-181.52","507.95000000000005"
Rajesh Exports Ltd,RAJESHEXPO,"Precious Metals, Jewellery & Watches","8569.920309975","14049.17","2096.35","1240.9","723.3","22874.67",,"19497.73","13.57","8039.2","14723.63","0","463.27","8151.04"
Sansera Engineering Ltd,SANSERA,"Auto Parts","8561.97425344","1169.14","63.99","40.05","890.6600000000001","2792.74",,"999.4999999999999","13.33","976.52","1363.3100000000002","331.20000000000005","374.34","1429.4299999999996"
Kama Holdings Ltd,KAMAHOLD,"Conglomerates","8557.59363525","6318.07","583.3","1139.45","5021.639999999999","21330.85",,"6043.97","219.57","4496.44","12323.7","3572.209999999999","2126.31","9007.149999999998"
Epigral Ltd,EPIGRAL,"Commodity Chemicals","8538.97297058","1212.55","6.8","20.58","909.0400000000002","2794.34",,"501.93","25.12","779.58","1309.1","492.13000000000005","397.64","1485.2400000000002"
Sundaram Finance Holdings Ltd,SUNDARMHLD,"Diversified Financials","8538.56721222","4364.76","182.56","4708.05","17.91","4947.83",,"200.1","99.95","6.910000000000025","4792.93","17.91","132.23","154.9"
Transport Corporation of India Ltd,TCI,"Logistics","8523.940018275","1946.2","426.21000000000004","212.06","193.68","2501.4",,"1290.6000000000001","54.88","284.2","2037.0800000000002","138.79","299.31","464.31999999999994"
Juniper Hotels Ltd,JUNIPER,"Hotels, Resorts & Cruise Lines","8522.953819119999","234.32000000000016","426.14","0.93","1256.7","4273.68",,"519.34","0","795.5","2655.28","733.9600000000003","327.08","1618.4000000000005"
Procter & Gamble Health Ltd,PGHL,"Pharmaceuticals","8499.54755928","723.16","440.22","0","12","1101.19",,"796.1000000000001","93.79","303.9","750.89","8.879999999999999","236","350.29999999999995"
Black Box Ltd,BBOX,"Software Services","8430.6465144","174.37","222.65","32.07","712.2499999999999","2777.2200000000003",,"1813.4099999999999","0","1553.2099999999998","480.92","628.41","134.3","2296.3"
Shakti Pumps (India) Ltd,SHAKTIPUMP,"Industrial Machinery","8428.76657","369.67","187.98","45.69","83.58","1358.76",,"1163.71","3.68","674.4499999999999","676.03","0.5199999999999925","24.64","682.7300000000001"
SBI Nifty 50 ETF,SETFNIF50,"Equity","8375.508879793",,,,,,,,,,,,,
BHARAT Bond ETF-April 2023-Growth,EBBETF0423,"Debt","8369.700871194",,,,,,,,,,,,,
Kirloskar Pneumatic Company Ltd,KIRLPNU,"Industrial Machinery","8369.54018595","894.9799999999999","238.63","172.72","0.78","1385.03",,"939.35","35.64","434.21999999999997","924.6399999999999","0.52","183.41","460.3900000000002"
ITD Cementation India Ltd,ITDCEM,"Construction & Engineering","8365.196402880001","691.4","895.72","4.84","889.12","5917.26",,"4552.33","12.86","4212.63","1498.1299999999999","151.71999999999997","704.34","4419.13"
Chemplast Sanmar Ltd,CHEMPLASTS,"Building Products - Pipes","8363.20591673","200.92000000000007","801.19","0.04","1547.7699999999998","6030.299999999999",,"1840.98","0","2483.54","1700.58","1103.2599999999998","-244.93","4329.719999999999"
Sunteck Realty Ltd,SUNTECK,"Real Estate","8355.58533976","2139.6000000000004","105.78","229.55","374.94000000000005","7917.76",,"6895.14","21.08","4518.619999999999","3124.2000000000003","250.66000000000003","108.99","4793.5599999999995"
Anupam Rasayan India Ltd,ANURAS,"Specialty Chemicals","8328.2152176","750.8399999999997","354.43","1.45","1070.02","4601.67",,"2226.62","26.31","1315.22","2930.66","237.9199999999999","59.03","1671.0099999999998"
Nazara Technologies Ltd,NAZARA,"Theme Parks & Gaming","8322.7552254","326.05999999999995","1433.88","214.67","27.7","2753.4300000000003",,"1896.8200000000002","0","382.11","2334.5499999999997","12.69","90.79","418.88000000000045"
Mastek Ltd,MASTEK,"IT Services & Consulting","8277.2833764","1632.4999999999998","459.34000000000003","17.08","518.96","3651.59",,"1543.44","58.23","1090.4399999999998","2087.41","334.85","420.37","1564.1800000000003"
