Name,Ticker,"Sub-Sector","Market Cap","Reserves & Surplus","Cash and Equivalent","Long Term Investments","Total Debt","Total Assets","Total Deposits – Banks","Total Current Assets","Total Cash Dividend Paid","Total Current Liabilities","Total Equity","Long Term Debt","Operating Cash Flow","Total Liabilities"
Jindal Capital Ltd,JINDCAP,"Diversified Financials","46.1246319","1.66","1.62","0","0","10.23",,"3.04","0","1.36","8.87","0","1.45","1.3600000000000019"
Alan Scott Enterprises Ltd,ALAN SCOTT,"Movies & TV Serials","46.101721512","-5.55","3.4","0","8.620000000000001","27.86",,"10.15","0","8.95","2.93","4.970000000000001","-3.11","24.93"
Khoobsurat Ltd,KHOOBSURAT,"Investment Banking & Brokerage","46.0867785","11.73","0.25","11.19","3.46","28.759999999999998",,"17.43","0","3.7399999999999998","25.009999999999998","0","-0.32","3.7500000000000013"
Nidan Laboratories and Healthcare Ltd,NIDAN,"Hospitals & Diagnostic Centres","46.0785","6.400000000000006","2.85","0","12.44","82.55000000000001",,"30.270000000000003","0","11.33","66.21000000000001","4.289999999999999","-14.93","16.34000000000001"
Polyspin Exports Ltd,POLYSPIN,"Packaging","46.06","53.54","8.62","7.85","74.74000000000001","159.35",,"96.94","0.05","77.36000000000001","58.54","20.53","7.76","100.81"
Naturite Agro Products Ltd,NAPL,"Packaged Foods & Meats","46.04872","7.72","0.13","0","3.1","20.169999999999998",,"9.719999999999999","0","4.93","13.17","0","5.34","6.9999999999999964"
Sumedha Fiscal Services Ltd,SUMEDHA,"Investment Banking & Brokerage","45.95036012","46.86","6.2","17.86","0","59.779999999999994",,"27.509999999999998","0.8","0.6900000000000002","57.41","0","3.32","2.37"
Pratik Panels Ltd,PRATIK,,"45.9430215","-0.4","0.05","0","0","6.05",,"6.05","0","0.05","5.989999999999999","0","0.44","0.06000000000000068"
Morarjee Textiles Ltd,MORARJEE,"Textiles","45.858407535000005","-303.77","4.18","0.45","515.1299999999999","503.82",,"83.39999999999999","0","701.5899999999999","-278.34","59.989999999999974","7.5","782.16"
Solitaire Machine Tools Ltd,SOLIMAC,"Industrial Machinery","45.85326672","13.5","1.6600000000000001","0","2.03","27.7",,"13.46","1.22","7.619999999999999","18.04","1.6099999999999999","2.56","9.66"
Associated Coaters Ltd,ASSOCIATED,"Diversified Metals & Mining","45.82604","0.67","0.67","0","0.1","2.9600000000000004",,"2.49","0","2.15","0.7000000000000001","0.1","0.63","2.2600000000000002"
Walpar Nutritions Ltd,WALPAR,"Packaged Foods & Meats","45.8253472","2.75","0.51","1.88","8.3","37.18",,"24.65","0","16.66","16.43","4.08","5.35","20.75"
