Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","PB Ratio","PS Ratio","Dividend Yield","EV/EBITDA Ratio","EV / Revenue Ratio","EV / Free Cash Flow","Price / Free Cash Flow","Price / CFO","EV / Invested Capital","Price / Sales","EV / EBIT Ratio","Sector PB","Sector PE","Sector Dividend Yield"
Rajputana Industries Ltd,RAJINDLTD,"Metals - Copper","194.048025","37.752534046692794","5.957876112987413","0.5933827441746682",,"12.191415795266943","0.6773837227080913","21.096954761904765","18.480764285714287","11.05686752136752","3.5769098175359284","0.5933827441746682","14.14546775223502","3.6662453399453305","32.198868092644055","1.1571707320772924"
RSD Finance Ltd,RSDFIN,"Diversified Financials","193.873538","13.858008434596117","0.8375028640546026","1.7433102958367053",,"7.597082705373682","2.2119731858645806","16.141308267716536","12.721360761154855","12.721360761154855","0.9538700143472023","1.7433102958367053","11.258285491990835","2.5848589347625337","18.559317201667593","0.7618004589993831"
Reliance Home Finance Ltd,RHFL,"Home Financing","193.538468382","-54.51787841746477","-2.6214068587566053","219.93007770681817",,,"298.8505322522727","0.06409990966683646","0.04717240423760415","0.04716975992854043",,"219.93007770681817",,"2.5848589347625337","18.559317201667593","0.7618004589993831"
Gujarat State Financial Corp,GUJSTATFIN,"Specialized Finance","193.110038","-1.6199147554735345","-0.06579715291335739","8.98186223255814",,,"39.70000176744186",,,,,"8.98186223255814",,"2.5848589347625337","18.559317201667593","0.7618004589993831"
Aarey Drugs and Pharmaceuticals Ltd,AAREYDRUGS,"Pharmaceuticals","192.620844398","41.24643348993566","1.4506766410453382","0.47846600526106614",,"19.489995126906205","0.5523892006508023",,,,"1.3549067470785352","0.47846600526106614","22.9022496805355","6.5551937051261975","51.23023092207714","0.48108310721408415"
Priti International Ltd,PRITI,"Home Furnishing","192.2879232","20.113799497907948","4.2233235932352295","2.0747510056107035",,"14.156142459259259","2.062019024600777",,,"1012.0417010526315","4.197406615418405","2.0747510056107035","14.700609476923075","7.273486839446574","43.2017612050237","0.4559918237589867"
Pee Cee Cosma Sope Ltd,PCCOSMA,"FMCG - Household Products","192.0912875","18.39954861111115","4.767716244725738","1.4309541679082243",,"11.850864420062713","1.408084680423123","37.50422371031746","38.11335069444444","31.542083333333334","4.520958801722076","1.4309541679082243","13.172215156794445","11.450151516106503","57.65372818552274","1.2462104573186603"
Aveer Foods Ltd,AVEER,"Packaged Foods & Meats","191.98649032","152.37023041269592","10.989495725243273","1.9913545308577947",,"34.52394567017531","2.0411418973135564","25.457501981888743","24.836544672703752","23.968350851435705","8.715079287865368","1.9913545308577947","81.65414536099514","11.450151516106503","57.65372818552274","1.2462104573186603"
Alpine Housing Development Corporation Limited,ALPINEHOU,"Real Estate","191.84002035","55.930035087463516","2.526205166578878","3.33287040218902",,"29.82047971248246","3.693884995656706","10.202496178023033","9.20537525671785","9.20537525671785","2.1807181574358974","3.33287040218902","34.4602950324149","4.4276461090211905","66.33620167677743","0.6661621290539578"
Wardwizard Foods and Beverages Ltd,WARDWIZFBL,"Packaged Foods & Meats","191.82644","-5.804128290468985","2.0452760422219853","9.742328085322498",,,"11.114598273235142",,,,"1.7976543453261045","9.742328085322498",,"11.450151516106503","57.65372818552274","1.2462104573186603"
Baid Finserv Ltd,BAIDFIN,"Diversified Financials","191.7490751","14.84125968266255","1.1497126460007192","2.88952795509343","0.6261740763932374","21.394134361874","5.986875754972875",,,,"0.9722226779072044","2.88952795509343","21.961806252072975","2.5848589347625337","18.559317201667593","0.7618004589993831"
Vinny Overseas Ltd,VINNY,"Textiles","191.681608264","54.14734696723156","6.892542548148148","1.6898669511064093",,"19.45461043345724","1.8454695253812925",,,"40.43915786160338","4.598673292267136","1.6898669511064093","34.83055045990014","7.273486839446574","43.2017612050237","0.4559918237589867"
LKP Securities Ltd,LKPSEC,"Diversified Financials","191.620209802","20.14933857013672","2.394953253368329","1.9465685676757416","0.6393234493719949","5.888455938329523","1.0456136712921578","2.6372075275941587","4.909562126620548","4.758386138614353","1.0114997032429247","1.9465685676757416","7.681358940447768","2.5848589347625337","18.559317201667593","0.7618004589993831"
Aayush Wellness Ltd,AAYUSH,,"191.16295","329.59129310344827","38.8542581300813","227.57494047619048",,"318.5215833333333","227.51541666666665",,,,"38.844095528455284","227.57494047619048","318.5215833333333","0.3806701897201169","8.73681365226353","0.12578182886250464"
Touchwood Entertainment Ltd,TOUCHWOOD,"Advertising","190.652820225","58.48246019171789","5.3047529277963275","5.612387996025905",,"32.94115251980202","4.897050933912276",,,,"4.417228364976102","5.612387996025905","36.72247687086097","15.07506118075096","-166.21401613556694","0.3400219150141426"
Caprihans India Ltd,CAPRIHANS,"Commodity Chemicals","190.4425795","-3.689317696629217","0.36866751747101056","0.26372705298288374",,"15.079618360411127","1.2596280112723646",,,,"0.7201179447087789","0.26372705298288374","52.456896164936396","3.6662453399453305","32.198868092644055","1.1571707320772924"
Globe International Carriers Ltd,GICL,"Logistics","190.38498","74.66077647058833","3.5249950009257547","1.6624605309116314",,"37.08745229681981","1.8329984282221448",,,,"2.8176507382550335","1.6624605309116314","39.09031284916204","7.221409012046209","51.941616477186834","0.4516689203640393"
Lactose (India) Ltd,LACTOSE,"Pharmaceuticals","190.282735","28.06530014749259","4.039973142250532","1.6544886096861142",,"11.315742296222659","1.979590774715242","34.54821471927162","28.874466616084977","21.672293280182235","2.6366269253039953","1.6544886096861142","15.28004932885905","6.5551937051261975","51.23023092207714","0.48108310721408415"
Jocil Ltd,JOCIL,"Commodity Chemicals","190.04772885","109.85417852600894","0.9024965754107703","0.25100075129431026","0.7009673349221925","15.511864410792883","0.1860210904564425","10.40234334194978","14.03602133308715","11.185858084167158","0.6513792205059428","0.25100075129431026","47.26433854026781","3.6662453399453305","32.198868092644055","1.1571707320772924"
Vital Chemtech Ltd,VITAL,"Commodity Chemicals","189.932223","-147.23428139534857","2.2519827246857953","1.8694116437007875",,"60.96946827195471","2.118328966535433",,,"13.595721045096635","1.954433554304395","1.8694116437007875","239.13580333333394","3.6662453399453305","32.198868092644055","1.1571707320772924"
South India Paper Mills Ltd,STHINPA,"Paper Products","189.80625","-14.15408277404927","0.861033614589004","0.6005766675104417",,"20.74349865951737","1.2241053347677509",,,,"0.9252517219936861","0.6005766675104417","509.0345394736499","3.6662453399453305","32.198868092644055","1.1571707320772924"
Kesar Petroproducts Ltd,KESARPE,"Commodity Chemicals","189.4794132","38.048074939759196","1.5225344572117319","1.2102670746039859",,"22.82376508508514","1.4563708048032709",,,,"1.217738801538133","1.2102670746039859","35.96362984227142","3.6662453399453305","32.198868092644055","1.1571707320772924"
Samor Reality Ltd,SAMOR,"Real Estate Development","189.415","-653.155172413793","6.880312386487468","1052.3055555555557",,"245.15624999999994","1089.5833333333333",,,,"5.339640620745983","1052.3055555555557","251.44230769230765","4.4276461090211905","66.33620167677743","0.6661621290539578"
