Name,Ticker,"Sub-Sector","Market Cap","Alpha","Beta","Sharpe Ratio","Volatility vs Nifty","100D SMA","200D SMA","Volatility"
Ratnaveer Precision Engineering Ltd,RATNAVEER,"Industrial Machinery","1166.449965332",,,,"3.6788566564362277","158.6892","141.7386","51.56766128050101"
GVK Power & Infrastructure Ltd,GVKPIL,"Airports","1149.6651712","31.6345284413313","0.841635241438716","0.04672061572338","4.002583423261761","8.665999999999999","10.165999999999999","56.10543858962358"
Dharmaj Crop Guard Ltd,DHARMAJ,"Fertilizers & Agro Chemicals","1147.75617216",,,,"3.158694259315299","291.94949999999994","269.51225000000005","44.27638553626749"
Satia Industries Ltd,SATIA,"Paper Products","1145.7","5.48298569912261","0.673069460953364","0.006818084514064","2.4273601711389228","121.03979999999997","124.26014999999998","34.025051476816294"
Tuticorin Alkali Chemicals and Fertilizers Ltd,TUTIALKA,"Commodity Chemicals","1144.7694586799998","86.7313966730126","0.556609574742725","0.163743859648367","3.808701751329047","87.36849999999998","92.04534999999994","53.38773977164118"
SBC Exports Ltd,SBC,"Apparel & Accessories","1143.80838","99.6470810867683",,"0.17258991957756","4.037926655490047","29.4886","26.165699999999998","56.60085550806146"
Voith Paper Fabrics India Ltd,VOITHPAPR,"Textiles","1141.0550514299998","21.8023261674345","0.9122477981854","0.066916515400681","3.141930558591514","2291.825500000001","2127.3167499999986","44.04140360534081"
Kaycee Industries Ltd,KAYCEEI,"Electrical Components & Equipments","1132.1937275","128.04450185392","0.776466654099445","0.327651730196927","3.7347566920152344","1613.9556900000002","983.5707450000002","52.351229211929635"
Arihant Capital Markets Ltd,ARIHANTCAP,"Diversified Financials","1130.9773464","48.1338589039376",,"0.124210251510348","3.6052444913645707","75.27559999999998","71.0328","50.53581700141002"
Sahana System Ltd,SAHANA,"IT Services & Consulting","1129.35679392",,,,"4.016581931140474","1386.5845000000004","1102.39575","56.30165996494109"
Concord Control Systems Ltd,CNCRD,"Electrical Components & Equipment","1125.42357",,,,"4.228963367981278","1161.2415","952.7927499999998","59.278675657605255"
Hazoor Multi Projects Ltd,HAZOOR,"Real Estate","1120.2291174","130.813621159727","0.487925687061712","0.276145863519971","3.563058127523984","393.6544999999998","371.67900000000014","49.944477809821414"
Faze Three Ltd,FAZE3Q,"Textiles","1118.18762",,,,"3.70227475565452","463.861","442.1237500000002","51.89591995462176"
Zuari Industries Ltd,ZUARIIND,"Conglomerates","1115.75205856","28.4004118732151","1.72563487338575","0.105854465092969","4.251580497405173","352.5295000000001","307.39349999999996","59.59570689262991"
Pudumjee Paper Products Ltd,PDMJEPAPER,"Paper Products","1109.87055","31.8787998151909","1.35767941143317","0.119472142338164","4.058300372360332","108.8987","85.63010000000003","56.88644014174204"
Allcargo Terminals Ltd,ATL,"Logistics","1106.8583356200002",,,,"4.029880839049081","51.556100000000015","56.53455000000001","56.488074833058285"
NACL Industries Ltd,NACLIND,"Fertilizers & Agro Chemicals","1106.3827926239999","-11.2579748995912","1.03058644750336","-0.059634069498646","2.5885342249340657","65.70830000000002","68.00039999999998","36.28427758685575"
Vashu Bhagnani Industries Ltd,POOJAENT,,"1106.2752675","72.9889666171819","-0.055671373452818","0.158829114107411","3.6247545841431963","238.73500000000007","168.2486928571429","50.809295951506954"
Industrial and Prudential Investment Co Ltd,INDPRUD,"Investment Banking & Brokerage","1106.0795376","43.4490406892448","1.04967718115077","0.191391763144714","2.9390671765774328","5964.679","5405.384249999998","41.1978054043571"
Ceinsys Tech Ltd,CEINSYSTECH,"IT Services & Consulting","1104.461540215","58.2767944836853","0.416690094944591","0.121616991155386","4.40773418596497","585.1169999999998","536.1157499999998","61.78456100448136"
Ganesh Benzoplast Ltd,GANESHBE,"Specialty Chemicals","1101.870077826","15.8867277871387",,"0.055737542017884","3.1336900116279818","158.66279999999998","167.02664999999996","43.925893332920154"
Shree Ganesh Remedies Ltd,SGRL,"Pharmaceuticals","1099.65591281","32.5434911539317","1.08032115670418","0.093151126831897","3.55451017265179","767.7830000000001","717.9787499999998","49.82465850652806"
Transindia Real Estate Ltd,TREL,"Logistics","1098.996078852",,,,"3.695654890693465","46.300699999999985","48.20159999999996","51.803127278550214"
Urja Global Ltd,URJA,"Renewable Energy Equipment & Services","1098.723011307","45.8062749212767","1.55349007206785","0.102708792453965","4.567315653708936","21.401500000000002","21.07625","64.02146334773217"
