Name,Ticker,"Sub-Sector","Market Cap","Close Price","1W Return","1M Return","6M Return","1Y Return","1W Change in Volume","1M Average Volume","3M Average Volume","1W Return vs Nifty","1M Return vs Nifty","6M Return vs Nifty","1Y Return vs Nifty","% Away From 52W High","% Away From 52W Low","5Y CAGR"
Religare Enterprises Ltd,RELIGARE,"Investment Banking & Brokerage","9337.44425801","282.7","-3.6689419795221845","18.09623430962343","31.85634328358208","8.814472671285595","-74.49717566943771","2414886.125","2497977.476923077","-5.5113519207504655","14.68808106497109","16.79515728631154","-17.233169791698614","4.757693668199492","40.22817460317461","54.705952876290674"
National Standard (India) Ltd,NATIONSTD,"Real Estate","9313.3","4656.65","-1.1970941250789717","5.9977635457964835","-4.367157496970828","-3.447096145472641","0","96.625","75.12307692307692","-3.0395040663072526","2.5896103011441434","-19.428343494241368","-29.494738608456853","49.764315548731396","10.839631062183862","167.97158142038896"
ESAB India Ltd,ESABINDIA,"Industrial Machinery","9300.5396491","6042.05","-3.0109335576114353","-2.0165401608700493","21.37261204073843","17.703037032708004","-31.244813278008298","5812.958333333333","8834.953846153847","-4.853343498839716","-5.424693405522389","6.31142604346789","-8.344605430276207","15.838167509371814","30.780303030303035","42.564575024706805"
Vijaya Diagnostic Centre Ltd,VIJAYA,"Hospitals & Diagnostic Centres","9269.8696491","903.3","-1.727302169923351","9.279711884753896","48.691358024691354","88.31195697145222","52.19566775203349","432959.7083333333","332508.6875","-3.569712111151632","5.871558640101556","33.63017202742081","62.264314508468004","7.716151887523526","99.40397350993378",
Choice International Ltd,CHOICEIN,"Investment Banking & Brokerage","9257.16697","464.3","0.07556131260794964","16.73382019642407","85.64574170331868","124.16415208207604","-6.420547411039483","748791.7916666666","641410.0615384616","-1.766848628620331","13.32566695177173","70.58455570604814","98.11650961909183","1.1522722377772965","139.94832041343668",
KNR Constructions Ltd,KNRCON,"Construction & Engineering","9245.587475","328.75","-3.2921219091431824","-2.8311425682507454","37.89848993288591","19.567194035279147","58.1702830845443","1115682.4166666667","1904440.7538461538","-5.134531850371463","-6.2392958129030855","22.837303935615367","-6.480448427705063","26.357414448669193","38.85955649419219","23.832421052274498"
JK Lakshmi Cement Ltd,JKLAKSHMI,"Cement","9136.49227457","776.45","-2.813839368904912","-1.9674185463659204","-5.75347454026825","19.7301464919044","24.227261860036204","130118.41666666667","218169.13846153847","-4.656249310133193","-5.3755717910182605","-20.814660537538792","-6.317495971079811","28.778414579174427","23.648379648061145","20.9036333744433"
Blue Jet Healthcare Ltd,BLUEJET,"Pharmaceuticals","9115.60808375","525.5","4.405940594059406","14.370932754880695","45.2259223435125","27.11659409772618","-4.2918556172122395","234394.125","331579.56923076924","2.5635306528311252","10.962779510228355","30.16473634624196","1.0689516347419676","4.091341579448149","64.47574334898279",
Transformers and Rectifiers (India) Ltd,TARIL,"Heavy Electrical Equipments","9098.776843125","606.25","-7.2015856702393295","-9.707142857142864","86.3377900722299","255.36342321219226","128.72063320288413","131160.625","212718.453125","-9.04399561146761","-13.115296101795204","71.27660407495935","229.31578074920805","39.49690721649486","326.9366197183099","136.4653873648825"
Gujarat State Fertilizers & Chemicals Ltd,GSFC,"Fertilizers & Agro Chemicals","9027.10996462","226.54","-1.7379153748744551","0.00888849384472256","11.321867321867318","31.518142235123364","43.842734503287645","2054962.2083333333","5045895.553846153","-3.580325316102736","-3.3992647508076175","-3.739318675403224","5.470499772139153","42.24860951708309","36.469879518072275","24.02393864191903"
ASK Automotive Ltd,ASKAUTOLTD,"Auto Parts","9003.502542","456.7","2.111111111111111","9.144893111638956","81.26612423099822","47.27507255723958","16.73990300043443","294272.2083333333","358651.44615384616","0.2687011698828303","5.736739866986616","66.20493823372767","21.22743009425537","4.7186336763739956","90.21241149521033",
Lloyds Engineering Works Ltd,LLOYDSENGG,"Industrial Machinery","8995.285637912","78.61","2.4054121773991506","5.566317964613183","68.14973262032086","88.08451149292027","-4.496166207121873","3916436.5416666665","7704791.692307692","0.5630022361708698","2.1581647199608427","53.08854662305032","62.03686902993606","18.814400203536465","99.080926293968","183.02582179826024"
Jupiter Life Line Hospitals Ltd,JLHL,"Hospitals & Diagnostic Centres","8971.72662037","1368.35","2.370552880128421","2.754149960655001","21.26999601187575","28.87685425005886","241.75315884476535","55372.5","69448.47692307692","0.52814293890014","-0.6540032839973393","6.208810014605209","2.829211787074648","20.871852961596105","40.070631589722595",
TVS Supply Chain Solutions Ltd,TVSSCS,"Logistics","8950.08845028","203.16","-5.57141541578414","7.371727748691106","36.90026954177897","-8.753649225241414","-72.61431487784546","2952494.875","2512218.015625","-7.413825357012421","3.963574504038766","21.839083544508426","-34.801291688225625","13.77731836975784","40.1103448275862",
Rategain Travel Technologies Ltd,RATEGAIN,"Software Services","8910.2299481","755.95","3.581267217630854","2.8727770177838576","2.675721561969446","32.69264525188696","18.313270381316226","400950.3333333333","410367.3538461538","1.7388572764025734","-0.5353762268684825","-12.385464435301095","6.645002788902747","21.926053310404136","43.15879178108135",
Azad Engineering Ltd,AZAD,"Renewable Energy Equipment & Services","8898.574401255","1505.35","-4.805020450216993","-7.606060606060606","22.40110582591373","122.19188191881916","-75.61257326435337","146485.25","183943.56923076924","-6.647430391445274","-11.014213850712947","7.33991982864319","96.14423945583495","38.173846613744324","134.33219178082192",
Keystone Realtors Ltd,RUSTOMJEE,"Real Estate","8861.0977392","703.2","-1.5422191207257439","-8.048748696558915","19.065357263799527","20.277088856580875","95.88787775560854","111587.45833333333","95447.2","-3.3846290619540245","-11.456901941211255","4.004171266528985","-5.770553606403336","12.393344709897613","35.75289575289575",
HEG Ltd,HEG,"Electrical Components & Equipments","8840.3006493","2290.5","3.304752572268487","5.159600997506225","22.80513631611398","32.88275221906364","7208.600781889263","231762.41666666666","216916.8153846154","1.4623426310402061","1.7514477528538852","7.743950318843439","6.835109756079429","19.75551189696574","56.67966345167248","13.936168556978256"
Maharashtra Seamless Ltd,MAHSEAMLES,"Building Products - Pipes","8823.18074794","658.45","0.33634800807235216","11.49501661129569","-24.51564828614008","14.982973893303077","-53.14516170756567","492458.125","463316.75384615385","-1.5060619331559286","8.08686336664335","-39.57683428341062","-11.064668569681134","66.60338674159007","18.256106321839095","27.153308614507175"
Shilpa Medicare Ltd,SHILPAMED,"Pharmaceuticals","8819.76199252","901.9","4.287067740407395","29.68117222590385","96.25720813839625","151.05080027835768","8.139667398879174","480339.9166666667","458510.58461538464","2.4446577991791143","26.27301898125151","81.19602214112571","125.00315781537347","6.386517352256349","203.87466307277626","29.76662666834411"
